return_id,order_id,order_item_id,customer_id,product_id,seller_id,return_date,days_after_delivery,return_type,return_reason,return_channel,return_status,refund_status,refund_amount,reverse_shipping_cost,pickup_status,pickup_date,quality_check_status,return_condition,replacement_requested,replacement_status
13,69,141,2648,1245,247,2023-02-03,24,Refund,Wrong Product,Mobile App,Completed,Completed,2979.56,157.7,Completed,2023-02-06,Passed,Unused,False,Not Applicable
14,70,142,2961,1320,263,2023-01-13,3,Replacement,Wrong Product,Customer Support,Approved,Not Applicable,0.0,92.88,Pending,,Pending,Unused,True,Requested
15,76,155,8022,2284,448,2023-01-22,15,Replacement,Wrong Product,Mobile App,Picked Up,Not Applicable,0.0,169.99,Scheduled,2023-01-25,Pending,Used,True,Processing
16,82,165,5521,1113,223,2023-02-04,27,Refund,Wrong Product,Customer Support,Completed,Processing,852.27,70.85,Completed,2023-02-05,Passed,Opened,False,Not Applicable
17,90,179,7915,112,21,2023-01-31,25,Refund,Missing Parts,Website,Rejected,Not Applicable,0.0,114.14,Failed,,Pending,Damaged,False,Not Applicable
18,92,184,8738,1927,376,2023-01-22,12,Refund,Damaged Product,Mobile App,Approved,Processing,1435.57,61.51,Pending,,Pending,Used,False,Not Applicable
19,99,197,148,1236,246,2023-02-05,24,Exchange,Product Not As Expected,Website,Completed,Not Applicable,0.0,148.11,Completed,2023-02-08,Passed,Used,True,Processing
20,105,208,2751,1553,307,2023-01-19,7,Refund,Size/Fit Issue,Customer Support,Approved,Processing,3293.66,131.93,Scheduled,2023-01-22,Pending,Damaged,False,Not Applicable
21,106,211,2886,1395,277,2023-02-10,29,Exchange,Quality Issue,Mobile App,Approved,Not Applicable,0.0,120.93,Scheduled,2023-02-12,Pending,Used,True,Cancelled
22,108,217,4325,2011,392,2023-02-13,30,Replacement,Product Not As Expected,Website,Completed,Not Applicable,0.0,123.47,Completed,2023-02-14,Passed,Unused,True,Completed
23,131,265,7407,1426,283,2023-01-29,16,Replacement,Product Not As Expected,Mobile App,Completed,Not Applicable,0.0,89.95,Completed,2023-02-01,Passed,Damaged,True,Cancelled
24,156,316,6767,1046,209,2023-02-15,27,Refund,Damaged Product,Website,Completed,Completed,15603.84,74.79,Completed,2023-02-17,Passed,Used,False,Not Applicable
25,174,355,3467,1817,355,2023-01-27,12,Refund,Damaged Product,Website,Requested,Pending,15730.82,123.2,Pending,,Pending,Unused,False,Not Applicable
26,189,387,3385,374,73,2023-02-06,18,Refund,Late Delivery,Website,Pickup Scheduled,Pending,28787.46,125.34,Completed,2023-02-08,Pending,Used,False,Not Applicable
27,199,408,862,216,43,2023-02-14,28,Refund,Quality Issue,Website,Picked Up,Processing,1302.88,113.37,Completed,2023-02-17,Passed,Used,False,Not Applicable
28,206,421,5486,296,59,2023-01-29,10,Refund,Quality Issue,Website,Completed,Completed,2693.87,179.49,Completed,2023-02-01,Passed,Damaged,False,Not Applicable
29,219,445,8570,315,62,2023-01-23,2,Refund,Missing Parts,Website,Completed,Completed,9540.66,100.41,Completed,2023-01-24,Passed,Used,False,Not Applicable
30,220,448,8902,1843,360,2023-02-11,28,Refund,Changed Mind,Mobile App,Completed,Completed,12091.44,151.67,Completed,2023-02-14,Pending,Opened,False,Not Applicable
31,226,463,4561,2438,477,2023-02-11,24,Refund,Changed Mind,Mobile App,Completed,Pending,9343.12,53.48,Completed,2023-02-12,Passed,Unused,False,Not Applicable
32,228,467,7062,878,176,2023-01-24,10,Replacement,Changed Mind,Mobile App,Completed,Not Applicable,0.0,93.77,Completed,2023-01-25,Failed,Damaged,True,Processing
33,231,472,8852,1380,275,2023-01-26,6,Replacement,Late Delivery,Customer Support,Picked Up,Not Applicable,0.0,171.4,Completed,2023-01-27,Passed,Used,True,Cancelled
34,233,476,79,1820,355,2023-01-31,14,Replacement,Damaged Product,Mobile App,Completed,Not Applicable,0.0,116.44,Completed,2023-02-03,Passed,Unused,True,Completed
35,243,496,8783,613,124,2023-01-19,3,Refund,Product Not As Expected,Website,Pickup Scheduled,Pending,402.93,123.4,Completed,2023-01-21,Pending,Used,False,Not Applicable
36,244,499,1947,2162,425,2023-01-26,9,Refund,Product Not As Expected,Website,Completed,Completed,37679.52,121.33,Completed,2023-01-27,Failed,Damaged,False,Not Applicable
37,273,556,7209,532,108,2023-02-15,24,Refund,Changed Mind,Mobile App,Completed,Completed,2974.1,104.3,Completed,2023-02-18,Failed,Damaged,False,Not Applicable
38,273,557,7209,2507,492,2023-02-08,17,Exchange,Wrong Product,Website,Pickup Scheduled,Not Applicable,0.0,138.37,Completed,2023-02-09,Passed,Damaged,True,Requested
39,287,582,9558,536,109,2023-01-24,3,Refund,Wrong Product,Customer Support,Completed,Completed,7585.61,144.06,Completed,2023-01-26,Failed,Damaged,False,Not Applicable
40,289,587,2632,2521,495,2023-01-29,11,Replacement,Wrong Product,Mobile App,Approved,Not Applicable,0.0,55.5,Pending,,Pending,Damaged,True,Processing
41,290,588,3346,653,131,2023-02-15,28,Refund,Changed Mind,Customer Support,Completed,Processing,9315.53,68.3,Completed,2023-02-17,Passed,Damaged,False,Not Applicable
42,290,589,3346,778,156,2023-02-13,26,Refund,Late Delivery,Mobile App,Approved,Processing,5835.64,125.84,Scheduled,2023-02-16,Pending,Used,False,Not Applicable
43,300,607,9607,2128,418,2023-02-10,20,Replacement,Wrong Product,Website,Completed,Not Applicable,0.0,125.49,Completed,2023-02-11,Passed,Used,True,Processing
44,317,648,1035,1935,377,2023-02-12,18,Refund,Product Not As Expected,Website,Pickup Scheduled,Processing,73660.62,33.75,Completed,2023-02-13,Passed,Damaged,False,Not Applicable
45,321,655,3675,1712,337,2023-02-20,27,Refund,Product Not As Expected,Mobile App,Completed,Processing,7806.71,47.42,Completed,2023-02-21,Passed,Damaged,False,Not Applicable
46,334,683,4386,2311,453,2023-01-31,9,Refund,Product Not As Expected,Mobile App,Approved,Pending,228.18,148.02,Pending,,Pending,Unused,False,Not Applicable
47,337,687,7476,228,46,2023-02-14,25,Refund,Missing Parts,Mobile App,Picked Up,Pending,7364.19,178.13,Scheduled,2023-02-16,Pending,Opened,False,Not Applicable
48,341,696,8613,1534,303,2023-02-01,9,Refund,Late Delivery,Mobile App,Completed,Pending,5714.0,97.8,Completed,2023-02-03,Passed,Unused,False,Not Applicable
49,345,707,1523,463,95,2023-02-10,16,Replacement,Wrong Product,Mobile App,Pickup Scheduled,Not Applicable,0.0,39.85,Completed,2023-02-11,Passed,Used,True,Processing
50,360,735,3574,868,173,2023-02-16,27,Refund,Wrong Product,Website,Pickup Scheduled,Pending,220.21,161.04,Completed,2023-02-19,Pending,Used,False,Not Applicable
51,362,739,6094,1625,321,2023-02-02,10,Replacement,Late Delivery,Website,Pickup Scheduled,Not Applicable,0.0,157.09,Scheduled,2023-02-05,Pending,Damaged,True,Processing
52,372,759,5638,1999,389,2023-02-01,9,Replacement,Quality Issue,Mobile App,Pickup Scheduled,Not Applicable,0.0,51.28,Scheduled,2023-02-02,Pending,Damaged,True,Requested
53,373,761,6600,1175,235,2023-02-19,24,Refund,Changed Mind,Mobile App,Pickup Scheduled,Processing,13496.17,162.5,Completed,2023-02-22,Passed,Unused,False,Not Applicable
54,376,765,9799,1095,219,2023-01-23,3,Refund,Changed Mind,Website,Completed,Completed,2884.28,81.78,Completed,2023-01-24,Passed,Unused,False,Not Applicable
55,382,775,2957,1948,380,2023-02-03,7,Refund,Damaged Product,Website,Approved,Processing,3000.28,104.61,Scheduled,2023-02-04,Pending,Unused,False,Not Applicable
56,389,789,4284,1538,304,2023-02-04,11,Refund,Product Not As Expected,Website,Picked Up,Processing,85011.68,174.93,Scheduled,2023-02-06,Pending,Unused,False,Not Applicable
57,394,799,8184,2099,413,2023-02-19,28,Refund,Quality Issue,Website,Pickup Scheduled,Pending,1586.08,165.89,Scheduled,2023-02-22,Pending,Opened,False,Not Applicable
58,406,824,2876,992,199,2023-02-12,15,Replacement,Damaged Product,Mobile App,Completed,Not Applicable,0.0,38.53,Completed,2023-02-13,Passed,Damaged,True,Requested
59,406,826,2876,1241,247,2023-02-25,28,Exchange,Late Delivery,Website,Requested,Not Applicable,0.0,166.36,Scheduled,2023-02-28,Pending,Unused,True,Cancelled
60,414,847,9220,1854,361,2023-02-22,23,Refund,Changed Mind,Mobile App,Pickup Scheduled,Processing,1564.27,148.38,Completed,2023-02-24,Passed,Unused,False,Not Applicable
61,415,849,1899,674,136,2023-01-28,4,Refund,Quality Issue,Website,Pickup Scheduled,Pending,21227.97,167.51,Completed,2023-01-29,Passed,Opened,False,Not Applicable
62,423,867,886,2093,412,2023-02-07,10,Refund,Product Not As Expected,Mobile App,Approved,Pending,797.75,74.37,Pending,,Pending,Unused,False,Not Applicable
63,434,886,1776,1799,351,2023-02-06,12,Replacement,Changed Mind,Website,Approved,Not Applicable,0.0,174.84,Scheduled,2023-02-07,Pending,Opened,True,Completed
64,443,904,7837,1468,291,2023-02-15,16,Replacement,Damaged Product,Website,Picked Up,Not Applicable,0.0,70.92,Scheduled,2023-02-17,Pending,Unused,True,Processing
65,448,913,1250,338,67,2023-02-02,2,Refund,Changed Mind,Customer Support,Pickup Scheduled,Processing,8968.47,169.62,Scheduled,2023-02-03,Pending,Used,False,Not Applicable
66,455,924,2531,1568,310,2023-02-01,3,Refund,Damaged Product,Website,Approved,Processing,4484.82,65.65,Pending,,Pending,Used,False,Not Applicable
67,457,929,7311,2524,496,2023-02-27,27,Exchange,Size/Fit Issue,Website,Picked Up,Not Applicable,0.0,94.39,Scheduled,2023-03-02,Pending,Opened,True,Completed
68,461,936,1945,773,155,2023-02-15,17,Refund,Late Delivery,Website,Completed,Completed,1563.57,177.16,Completed,2023-02-17,Pending,Damaged,False,Not Applicable
69,461,938,1945,1605,318,2023-02-24,26,Refund,Product Not As Expected,Website,Approved,Processing,291.89,82.84,Pending,,Pending,Unused,False,Not Applicable
70,468,952,6139,1271,254,2023-02-05,7,Refund,Wrong Product,Mobile App,Approved,Processing,16795.29,68.0,Scheduled,2023-02-08,Pending,Damaged,False,Not Applicable
71,478,972,4045,1718,338,2023-02-15,20,Exchange,Quality Issue,Mobile App,Approved,Not Applicable,0.0,75.97,Pending,,Pending,Used,True,Completed
72,482,977,7518,33,7,2023-02-26,28,Exchange,Changed Mind,Mobile App,Completed,Not Applicable,0.0,106.96,Completed,2023-02-27,Pending,Damaged,True,Completed
73,483,980,8501,801,161,2023-02-28,28,Replacement,Wrong Product,Mobile App,Completed,Not Applicable,0.0,87.43,Completed,2023-03-01,Passed,Used,True,Completed
74,506,1016,7926,1568,310,2023-02-20,18,Refund,Damaged Product,Website,Approved,Pending,4484.82,48.2,Scheduled,2023-02-23,Pending,Opened,False,Not Applicable
75,508,1020,9517,1209,241,2023-02-13,18,Refund,Late Delivery,Mobile App,Picked Up,Pending,3948.65,179.94,Scheduled,2023-02-15,Pending,Damaged,False,Not Applicable
76,510,1025,513,2227,435,2023-02-10,11,Replacement,Quality Issue,Mobile App,Pickup Scheduled,Not Applicable,0.0,154.71,Scheduled,2023-02-11,Pending,Damaged,True,Requested
77,516,1037,6480,2424,474,2023-02-04,7,Replacement,Damaged Product,Website,Picked Up,Not Applicable,0.0,55.68,Scheduled,2023-02-07,Pending,Opened,True,Processing
78,518,1042,8459,2157,423,2023-03-04,28,Refund,Quality Issue,Website,Requested,Processing,2132.91,163.35,Pending,,Pending,Damaged,False,Not Applicable
79,533,1068,4852,924,185,2023-02-14,13,Replacement,Missing Parts,Website,Pickup Scheduled,Not Applicable,0.0,104.81,Completed,2023-02-15,Passed,Damaged,True,Cancelled
80,534,1070,5422,304,60,2023-02-13,13,Refund,Changed Mind,Website,Rejected,Not Applicable,0.0,37.58,Failed,,Pending,Unused,False,Not Applicable
81,544,1087,5690,1520,300,2023-02-20,17,Refund,Size/Fit Issue,Mobile App,Picked Up,Pending,3353.12,113.67,Completed,2023-02-22,Passed,Used,False,Not Applicable
82,546,1092,6663,620,125,2023-02-06,2,Refund,Product Not As Expected,Website,Pickup Scheduled,Pending,3288.36,54.38,Scheduled,2023-02-08,Pending,Used,False,Not Applicable
83,556,1112,1918,154,30,2023-02-20,16,Refund,Late Delivery,Website,Completed,Completed,2426.78,52.17,Completed,2023-02-23,Passed,Damaged,False,Not Applicable
84,556,1114,1918,1938,378,2023-02-27,23,Refund,Quality Issue,Mobile App,Requested,Processing,2909.46,105.27,Pending,,Pending,Damaged,False,Not Applicable
85,580,1160,3973,750,150,2023-02-23,23,Refund,Product Not As Expected,Mobile App,Completed,Completed,48631.08,169.95,Completed,2023-02-24,Passed,Used,False,Not Applicable
86,584,1169,6679,2171,426,2023-02-20,14,Refund,Missing Parts,Mobile App,Picked Up,Pending,226899.34,161.76,Completed,2023-02-23,Failed,Damaged,False,Not Applicable
87,600,1203,198,2096,413,2023-02-26,19,Replacement,Quality Issue,Mobile App,Completed,Not Applicable,0.0,157.66,Completed,2023-03-01,Passed,Damaged,True,Processing
88,615,1235,5873,2127,418,2023-02-25,21,Refund,Size/Fit Issue,Mobile App,Approved,Pending,804.25,133.54,Scheduled,2023-02-28,Pending,Used,False,Not Applicable
89,633,1272,6332,2483,487,2023-02-11,5,Refund,Wrong Product,Website,Picked Up,Processing,8466.58,152.47,Scheduled,2023-02-13,Pending,Used,False,Not Applicable
90,635,1275,8270,1225,243,2023-02-23,12,Replacement,Damaged Product,Customer Support,Picked Up,Not Applicable,0.0,91.33,Scheduled,2023-02-25,Pending,Unused,True,Completed
91,643,1296,8215,832,166,2023-02-09,1,Exchange,Product Not As Expected,Website,Picked Up,Not Applicable,0.0,53.27,Scheduled,2023-02-10,Pending,Damaged,True,Completed
92,644,1300,8254,2239,438,2023-03-03,22,Refund,Wrong Product,Mobile App,Completed,Pending,2509.75,66.71,Completed,2023-03-06,Pending,Unused,False,Not Applicable
93,644,1301,8254,2472,485,2023-02-24,15,Refund,Wrong Product,Mobile App,Approved,Processing,3284.2,116.62,Pending,,Pending,Used,False,Not Applicable
94,654,1319,5086,1315,262,2023-02-22,12,Exchange,Late Delivery,Mobile App,Completed,Not Applicable,0.0,57.58,Completed,2023-02-24,Passed,Used,True,Cancelled
95,658,1326,9544,686,138,2023-02-22,14,Exchange,Damaged Product,Mobile App,Picked Up,Not Applicable,0.0,157.07,Completed,2023-02-23,Passed,Unused,True,Cancelled
96,668,1345,9083,1615,319,2023-03-09,30,Refund,Product Not As Expected,Customer Support,Completed,Completed,959.69,112.81,Completed,2023-03-12,Passed,Opened,False,Not Applicable
97,690,1392,6849,1995,388,2023-02-15,2,Replacement,Product Not As Expected,Mobile App,Requested,Not Applicable,0.0,156.38,Pending,,Pending,Damaged,True,Processing
98,693,1396,9817,944,188,2023-02-27,17,Refund,Product Not As Expected,Website,Requested,Processing,3581.61,109.83,Scheduled,2023-02-28,Pending,Unused,False,Not Applicable
99,694,1398,555,1684,332,2023-03-05,24,Refund,Wrong Product,Website,Rejected,Not Applicable,0.0,150.93,Failed,,Pending,Damaged,False,Not Applicable
100,707,1426,1916,842,168,2023-02-13,1,Replacement,Changed Mind,Website,Requested,Not Applicable,0.0,64.46,Scheduled,2023-02-16,Pending,Unused,True,Requested
101,715,1443,3706,2495,490,2023-02-19,7,Refund,Product Not As Expected,Website,Completed,Completed,1545.23,115.0,Completed,2023-02-21,Passed,Opened,False,Not Applicable
102,722,1456,9597,1424,283,2023-03-11,24,Exchange,Product Not As Expected,Mobile App,Requested,Not Applicable,0.0,175.34,Pending,,Pending,Used,True,Cancelled
103,729,1473,2153,2272,446,2023-02-19,9,Refund,Product Not As Expected,Mobile App,Completed,Completed,11766.54,171.44,Completed,2023-02-21,Pending,Unused,False,Not Applicable
104,736,1490,6931,413,83,2023-02-22,14,Refund,Late Delivery,Customer Support,Requested,Pending,29164.88,55.43,Pending,,Pending,Damaged,False,Not Applicable
105,743,1505,9189,2326,456,2023-02-25,13,Refund,Quality Issue,Mobile App,Completed,Completed,1630.88,50.42,Completed,2023-02-28,Failed,Damaged,False,Not Applicable
106,765,1548,5691,904,181,2023-03-08,20,Refund,Late Delivery,Customer Support,Pickup Scheduled,Processing,13329.72,46.41,Scheduled,2023-03-10,Pending,Unused,False,Not Applicable
107,787,1587,6430,1027,206,2023-02-18,2,Replacement,Quality Issue,Website,Approved,Not Applicable,0.0,112.79,Pending,,Pending,Opened,True,Processing
108,794,1600,5903,395,79,2023-02-26,7,Refund,Damaged Product,Website,Completed,Completed,133301.45,59.56,Completed,2023-03-01,Passed,Used,False,Not Applicable
109,824,1661,8161,2299,450,2023-02-23,8,Refund,Changed Mind,Website,Approved,Processing,3658.75,70.18,Pending,,Pending,Unused,False,Not Applicable
110,831,1674,6644,1250,249,2023-03-01,9,Refund,Changed Mind,Website,Completed,Processing,8182.27,159.16,Completed,2023-03-02,Passed,Used,False,Not Applicable
111,842,1699,6419,563,114,2023-02-26,9,Replacement,Damaged Product,Mobile App,Approved,Not Applicable,0.0,51.33,Scheduled,2023-02-27,Pending,Damaged,True,Cancelled
112,844,1703,8475,2480,487,2023-03-13,26,Replacement,Late Delivery,Website,Requested,Not Applicable,0.0,117.29,Scheduled,2023-03-15,Pending,Damaged,True,Completed
113,854,1724,7076,831,166,2023-03-10,21,Replacement,Size/Fit Issue,Customer Support,Picked Up,Not Applicable,0.0,178.78,Scheduled,2023-03-12,Pending,Damaged,True,Requested
114,860,1737,5138,1890,368,2023-03-16,21,Refund,Damaged Product,Mobile App,Completed,Pending,6166.38,41.69,Completed,2023-03-17,Pending,Damaged,False,Not Applicable
115,862,1741,5768,555,112,2023-03-03,11,Replacement,Product Not As Expected,Website,Rejected,Not Applicable,0.0,64.34,Failed,,Pending,Damaged,True,Requested
116,867,1755,3012,1183,236,2023-03-10,19,Refund,Changed Mind,Mobile App,Completed,Processing,2897.2,122.41,Completed,2023-03-13,Passed,Damaged,False,Not Applicable
117,874,1772,9205,2372,465,2023-03-18,28,Replacement,Late Delivery,Website,Pickup Scheduled,Not Applicable,0.0,126.93,Scheduled,2023-03-21,Pending,Damaged,True,Completed
118,878,1779,1203,1982,386,2023-03-22,29,Exchange,Quality Issue,Mobile App,Rejected,Not Applicable,0.0,111.95,Failed,,Pending,Damaged,True,Completed
119,880,1783,2814,2039,399,2023-03-14,19,Refund,Damaged Product,Customer Support,Approved,Processing,416246.13,93.54,Scheduled,2023-03-17,Pending,Damaged,False,Not Applicable
120,882,1789,4695,2521,495,2023-03-26,30,Refund,Wrong Product,Mobile App,Completed,Completed,3012.01,76.53,Completed,2023-03-29,Passed,Unused,False,Not Applicable
121,886,1797,3026,1944,379,2023-03-13,22,Replacement,Wrong Product,Mobile App,Completed,Not Applicable,0.0,172.95,Completed,2023-03-14,Passed,Opened,True,Cancelled
122,892,1810,278,2151,422,2023-03-18,26,Refund,Quality Issue,Website,Picked Up,Pending,1008.38,104.94,Completed,2023-03-20,Passed,Unused,False,Not Applicable
123,899,1822,5781,93,18,2023-03-22,28,Refund,Quality Issue,Mobile App,Requested,Pending,6356.15,112.93,Pending,,Pending,Unused,False,Not Applicable
124,902,1830,2292,1111,223,2023-03-01,12,Refund,Wrong Product,Mobile App,Completed,Completed,7213.05,40.34,Completed,2023-03-02,Failed,Damaged,False,Not Applicable
125,905,1836,4753,1606,318,2023-03-02,7,Refund,Product Not As Expected,Website,Completed,Completed,9334.69,179.67,Completed,2023-03-05,Failed,Damaged,False,Not Applicable
126,908,1843,9665,1919,374,2023-03-15,18,Refund,Size/Fit Issue,Customer Support,Completed,Pending,2197.1,45.59,Completed,2023-03-18,Passed,Used,False,Not Applicable
127,912,1849,2838,700,141,2023-02-26,5,Replacement,Damaged Product,Website,Requested,Not Applicable,0.0,176.18,Scheduled,2023-03-01,Pending,Used,True,Cancelled
128,914,1854,4633,2419,473,2023-03-11,19,Refund,Damaged Product,Mobile App,Completed,Processing,2609.5,88.94,Completed,2023-03-13,Failed,Damaged,False,Not Applicable
129,929,1885,4378,1789,349,2023-03-01,10,Refund,Wrong Product,Customer Support,Rejected,Not Applicable,0.0,113.39,Failed,,Pending,Damaged,False,Not Applicable
130,932,1891,5548,2041,399,2023-03-22,25,Exchange,Product Not As Expected,Mobile App,Approved,Not Applicable,0.0,33.27,Pending,,Pending,Used,True,Requested
131,932,1892,5548,2056,404,2023-03-26,29,Replacement,Wrong Product,Customer Support,Completed,Not Applicable,0.0,55.2,Completed,2023-03-28,Pending,Damaged,True,Requested
132,934,1896,6658,1905,371,2023-03-15,22,Refund,Missing Parts,Mobile App,Pickup Scheduled,Processing,886.34,127.09,Scheduled,2023-03-16,Pending,Opened,False,Not Applicable
133,939,1908,2301,112,21,2023-03-08,13,Replacement,Product Not As Expected,Mobile App,Pickup Scheduled,Not Applicable,0.0,119.57,Completed,2023-03-10,Passed,Unused,True,Completed
134,939,1909,2301,1175,235,2023-03-21,26,Replacement,Changed Mind,Website,Requested,Not Applicable,0.0,67.18,Pending,,Pending,Opened,True,Requested
135,951,1937,3994,426,87,2023-02-26,2,Refund,Product Not As Expected,Mobile App,Approved,Pending,72926.48,137.54,Pending,,Pending,Used,False,Not Applicable
136,953,1941,5733,2456,481,2023-03-17,19,Replacement,Wrong Product,Website,Approved,Not Applicable,0.0,117.9,Scheduled,2023-03-18,Pending,Used,True,Cancelled
137,969,1968,1042,1393,277,2023-03-19,23,Exchange,Late Delivery,Mobile App,Pickup Scheduled,Not Applicable,0.0,51.1,Completed,2023-03-22,Passed,Unused,True,Cancelled
138,974,1981,6107,2198,430,2023-03-08,9,Replacement,Damaged Product,Mobile App,Completed,Not Applicable,0.0,103.96,Completed,2023-03-11,Passed,Opened,True,Cancelled
139,979,1990,63,904,181,2023-03-27,28,Refund,Quality Issue,Customer Support,Requested,Pending,8886.48,54.14,Scheduled,2023-03-28,Pending,Damaged,False,Not Applicable
140,981,1994,1504,495,101,2023-03-28,29,Exchange,Product Not As Expected,Website,Pickup Scheduled,Not Applicable,0.0,38.03,Completed,2023-03-31,Passed,Damaged,True,Processing
141,988,2008,8326,1234,245,2023-02-25,1,Refund,Product Not As Expected,Website,Approved,Processing,20509.79,33.86,Pending,,Pending,Unused,False,Not Applicable
142,1002,2031,93,245,50,2023-03-25,25,Replacement,Product Not As Expected,Mobile App,Requested,Not Applicable,0.0,156.12,Scheduled,2023-03-28,Pending,Opened,True,Requested
143,1005,2039,2943,1011,202,2023-03-26,29,Replacement,Late Delivery,Customer Support,Requested,Not Applicable,0.0,55.93,Pending,,Pending,Unused,True,Cancelled
144,1011,2053,7518,1518,300,2023-03-12,13,Refund,Wrong Product,Website,Picked Up,Pending,5651.7,114.99,Completed,2023-03-13,Passed,Opened,False,Not Applicable
145,1020,2075,8184,358,70,2023-03-18,16,Exchange,Wrong Product,Mobile App,Completed,Not Applicable,0.0,175.87,Completed,2023-03-20,Passed,Damaged,True,Requested
146,1027,2090,3318,682,138,2023-03-21,26,Refund,Late Delivery,Mobile App,Pickup Scheduled,Pending,7797.26,155.55,Scheduled,2023-03-22,Pending,Opened,False,Not Applicable
147,1032,2100,8245,596,120,2023-03-15,12,Refund,Product Not As Expected,Website,Pickup Scheduled,Processing,21920.39,142.34,Completed,2023-03-16,Passed,Used,False,Not Applicable
148,1037,2113,2610,1139,227,2023-03-27,25,Exchange,Changed Mind,Customer Support,Completed,Not Applicable,0.0,67.86,Completed,2023-03-30,Passed,Unused,True,Processing
149,1050,2143,8193,72,14,2023-03-12,9,Replacement,Quality Issue,Website,Completed,Not Applicable,0.0,164.95,Completed,2023-03-15,Passed,Opened,True,Processing
150,1055,2155,1439,1441,286,2023-03-21,23,Exchange,Quality Issue,Website,Completed,Not Applicable,0.0,106.1,Completed,2023-03-22,Passed,Damaged,True,Completed
151,1072,2186,1948,878,176,2023-04-03,29,Refund,Product Not As Expected,Mobile App,Approved,Processing,545.83,50.6,Scheduled,2023-04-04,Pending,Opened,False,Not Applicable
152,1080,2199,4608,692,139,2023-03-08,9,Refund,Late Delivery,Website,Completed,Completed,3604.48,125.02,Completed,2023-03-09,Pending,Damaged,False,Not Applicable
153,1083,2203,7230,1119,224,2023-03-09,7,Replacement,Quality Issue,Website,Rejected,Not Applicable,0.0,131.51,Failed,,Pending,Opened,True,Requested
154,1104,2240,5338,1377,274,2023-04-01,29,Replacement,Late Delivery,Mobile App,Completed,Not Applicable,0.0,133.46,Completed,2023-04-02,Passed,Unused,True,Requested
155,1119,2269,6766,828,166,2023-03-25,16,Exchange,Product Not As Expected,Mobile App,Completed,Not Applicable,0.0,155.28,Completed,2023-03-26,Pending,Unused,True,Requested
156,1128,2287,3265,1138,227,2023-03-12,10,Refund,Changed Mind,Website,Completed,Pending,3854.35,129.5,Completed,2023-03-13,Pending,Opened,False,Not Applicable
157,1138,2306,156,558,113,2023-03-29,28,Refund,Product Not As Expected,Website,Pickup Scheduled,Processing,1736.87,146.87,Scheduled,2023-04-01,Pending,Damaged,False,Not Applicable
158,1142,2316,3883,937,187,2023-03-30,21,Refund,Changed Mind,Customer Support,Completed,Completed,15964.73,94.93,Completed,2023-04-01,Passed,Unused,False,Not Applicable
159,1146,2325,7094,776,156,2023-04-02,30,Refund,Changed Mind,Website,Completed,Pending,1050.74,175.52,Completed,2023-04-04,Passed,Used,False,Not Applicable
160,1146,2326,7094,1714,337,2023-03-11,8,Refund,Damaged Product,Mobile App,Pickup Scheduled,Processing,1082.1,77.41,Completed,2023-03-12,Passed,Damaged,False,Not Applicable
161,1148,2329,8034,43,9,2023-03-21,13,Refund,Damaged Product,Website,Picked Up,Processing,7802.73,172.55,Scheduled,2023-03-24,Pending,Damaged,False,Not Applicable
