seller_id,seller_name,seller_email,seller_phone,city,state,specialization_category_id,registration_date,seller_rating,seller_status,is_verified
26,FutureCenter,sales@futurecenter.com,9870530217,Hyderabad,Telangana,5,2022-05-30,3.3,Active,True
27,ModernStore,contact@modernstore.com,9458153605,New Delhi,Delhi,3,2025-07-18,4.2,Active,False
28,NextWorld,hello@nextworld.com,9138684919,Hyderabad,Telangana,7,2019-09-24,5.0,Inactive,True
29,ClassicTraders,sales@classictraders.com,9816114302,Mysuru,Karnataka,9,2025-02-20,2.7,Inactive,True
30,UrbanSolutions,info@urbansolutions.com,9126614158,New Delhi,Delhi,7,2026-06-03,4.1,Active,True
31,SuperStore,info@superstore.com,9338836384,Coimbatore,Tamil Nadu,6,2022-04-12,4.8,Active,True
32,SmartElectronics,support@smartelectronics.com,9788785773,Noida,Uttar Pradesh,9,2021-02-26,5.0,Active,False
33,PrimeCenter,info@primecenter.com,9471178705,Warangal,Telangana,10,2024-04-28,4.8,Active,True
34,TechPoint,hello@techpoint.com,9837507241,Coimbatore,Tamil Nadu,7,2019-11-08,4.3,Active,False
35,SaiFashion,info@saifashion.com,9450236225,Siliguri,West Bengal,9,2020-05-11,4.2,Active,True
36,BlueFashion,info@bluefashion.com,9688343096,Nagpur,Maharashtra,5,2019-10-22,4.2,Active,True
37,GalaxySolutions,contact@galaxysolutions.com,9404713332,Kanpur,Uttar Pradesh,10,2022-04-27,4.1,Active,True
38,RoyalCorner,hello@royalcorner.com,9925159146,Mysuru,Karnataka,7,2025-08-12,4.8,Active,True
39,BrightRetail,contact@brightretail.com,9935822550,Kolkata,West Bengal,3,2025-12-13,4.0,Active,False
40,PremiumWorld,info@premiumworld.com,9816806128,Kanpur,Uttar Pradesh,10,2023-06-26,4.3,Active,False
41,OmOutlet,sales@omoutlet.com,9898493949,Jodhpur,Rajasthan,5,2026-05-10,4.3,Active,True
42,ModernOutlet,contact@modernoutlet.com,9866162966,Ahmedabad,Gujarat,5,2021-06-15,4.6,Active,True
43,SmartSupplies,info@smartsupplies.com,9455281184,Noida,Uttar Pradesh,7,2020-05-10,4.9,Inactive,True
44,MetroIndia,info@metroindia.com,9612153089,Nagpur,Maharashtra,5,2026-05-23,3.8,Active,True
45,GreenEnterprises,info@greenenterprises.com,9335602191,Surat,Gujarat,8,2016-11-19,4.3,Active,False
46,EliteCenter,hello@elitecenter.com,9128955006,Kolkata,West Bengal,2,2021-10-05,3.6,Active,True
47,PremiumLifestyle,support@premiumlifestyle.com,9917364173,Siliguri,West Bengal,7,2021-06-17,4.3,Active,False
48,RoyalMart,contact@royalmart.com,9909851739,Pune,Maharashtra,4,2025-09-28,4.6,Active,True
49,GlobalOutlet,support@globaloutlet.com,9923450567,Hyderabad,Telangana,10,2021-08-23,3.6,Active,True
50,FutureIndia,info@futureindia.com,9525904456,Chennai,Tamil Nadu,10,2022-05-13,4.9,Active,True
51,PrimeIndia,contact@primeindia.com,9472807202,Noida,Uttar Pradesh,6,2019-11-30,4.7,Active,True
52,ClassicOutlet,sales@classicoutlet.com,9567600762,New Delhi,Delhi,10,2025-07-05,3.7,Active,True
53,ExpressEnterprises,contact@expressenterprises.com,9399496923,Jaipur,Rajasthan,8,2023-02-16,4.7,Active,True
54,ClassicElectronics,support@classicelectronics.com,9400281010,Bhopal,Madhya Pradesh,9,2016-01-27,4.9,Active,True
55,NextCorner,info@nextcorner.com,9581223755,Mumbai,Maharashtra,5,2019-05-14,4.8,Active,True
56,NationalMarketplace,support@nationalmarketplace.com,9477753674,Jodhpur,Rajasthan,5,2021-09-05,4.1,Active,False
57,NextSolutions,sales@nextsolutions.com,9332341238,Jodhpur,Rajasthan,10,2025-06-21,4.4,Active,True
58,ClassicSolutions,support@classicsolutions.com,9115191689,Lucknow,Uttar Pradesh,5,2015-04-22,4.3,Active,False
59,ShreeHub,contact@shreehub.com,9716396766,Surat,Gujarat,8,2022-01-13,3.1,Active,True
60,SmartBazaar,info@smartbazaar.com,9179545125,Indore,Madhya Pradesh,3,2019-09-15,4.6,Active,True
61,GreenCenter,sales@greencenter.com,9932894596,Noida,Uttar Pradesh,8,2024-10-31,3.9,Active,True
62,GreenHub,sales@greenhub.com,9771641650,Coimbatore,Tamil Nadu,2,2018-12-22,4.1,Active,True
63,ShreeFashion,contact@shreefashion.com,9348545713,Vadodara,Gujarat,5,2025-04-09,4.6,Active,True
64,BlueTraders,info@bluetraders.com,9223240112,Lucknow,Uttar Pradesh,3,2026-04-26,4.5,Active,True
65,PremiumHub,info@premiumhub.com,9839462365,Vadodara,Gujarat,7,2025-05-27,4.2,Active,False
66,GalaxyLifestyle,hello@galaxylifestyle.com,9368830491,Mumbai,Maharashtra,4,2026-05-06,3.7,Active,True
67,ModernIndia,contact@modernindia.com,9919382051,New Delhi,Delhi,9,2022-07-24,4.8,Active,True
68,SmartCorner,support@smartcorner.com,9538460431,Warangal,Telangana,2,2024-12-03,4.2,Active,True
69,MetroMarketplace,contact@metromarketplace.com,9588365604,Mysuru,Karnataka,5,2023-04-08,3.8,Active,False
70,PremiumSupplies,contact@premiumsupplies.com,9301415220,Noida,Uttar Pradesh,10,2025-10-02,4.0,Active,True
71,FutureOutlet,info@futureoutlet.com,9230380269,Pune,Maharashtra,3,2021-01-29,4.0,Suspended,False
72,BrightWorld,info@brightworld.com,9869446962,Vadodara,Gujarat,5,2023-09-16,2.2,Active,True
73,GreenPoint,sales@greenpoint.com,9174958005,Surat,Gujarat,6,2025-06-03,4.5,Active,False
74,BlueCorner,sales@bluecorner.com,9579476614,Noida,Uttar Pradesh,6,2023-02-12,4.1,Active,True
75,BlueBazaar,sales@bluebazaar.com,9932734539,Kolkata,West Bengal,6,2025-12-23,3.2,Suspended,True
76,ShreeStore,sales@shreestore.com,9639331014,Bhopal,Madhya Pradesh,2,2025-03-26,5.0,Active,True
77,ModernLifestyle,hello@modernlifestyle.com,9843785903,Kolkata,West Bengal,6,2026-05-29,4.4,Active,False
78,ShreeMarketplace,contact@shreemarketplace.com,9762992051,Bengaluru,Karnataka,5,2026-02-03,5.0,Active,True
79,PrimeOutlet,sales@primeoutlet.com,9845178074,Ahmedabad,Gujarat,1,2021-04-25,4.7,Active,True
80,BlueSolutions,sales@bluesolutions.com,9287979290,Hubballi,Karnataka,7,2022-05-09,4.2,Active,True
81,PremiumElectronics,contact@premiumelectronics.com,9963968184,Jodhpur,Rajasthan,9,2020-06-23,3.4,Active,False
82,NextElectronics,info@nextelectronics.com,9424400672,Coimbatore,Tamil Nadu,8,2020-02-21,4.2,Suspended,True
83,StarBazaar,support@starbazaar.com,9108695125,Indore,Madhya Pradesh,10,2026-05-02,3.1,Active,True
84,ClassicEnterprises,sales@classicenterprises.com,9766676815,Vadodara,Gujarat,3,2021-03-22,4.7,Active,True
85,SmartFashion,support@smartfashion.com,9902601465,Kolkata,West Bengal,4,2020-01-20,4.4,Active,True
86,SmartWorld,sales@smartworld.com,9826197069,Siliguri,West Bengal,2,2024-01-15,4.6,Active,True
87,SuperEssentials,contact@superessentials.com,9824600232,Coimbatore,Tamil Nadu,1,2022-11-03,3.1,Active,False
88,NextFashion,info@nextfashion.com,9225279834,New Delhi,Delhi,1,2023-10-06,4.6,Active,True
89,ClassicMarketplace,info@classicmarketplace.com,9730651895,New Delhi,Delhi,2,2025-09-22,4.4,Active,True
90,PremiumOutlet,sales@premiumoutlet.com,9489431174,Hubballi,Karnataka,6,2023-01-05,4.6,Inactive,False
91,PremiumMart,sales@premiummart.com,9789024924,Indore,Madhya Pradesh,1,2024-09-06,2.7,Active,False
92,RoyalLifestyle,sales@royallifestyle.com,9946799779,Indore,Madhya Pradesh,5,2024-05-28,2.5,Active,True
93,TechWorld,contact@techworld.com,9484659715,Madurai,Tamil Nadu,6,2016-06-27,4.9,Active,True
94,ShreeOutlet,support@shreeoutlet.com,9651085057,Indore,Madhya Pradesh,8,2021-03-30,4.4,Active,True
95,DigitalCorner,info@digitalcorner.com,9557707813,Mysuru,Karnataka,8,2018-06-15,4.6,Active,True
96,BlueMarketplace,support@bluemarketplace.com,9508992977,Bhopal,Madhya Pradesh,8,2023-06-01,4.9,Active,True
97,GalaxyTraders,info@galaxytraders.com,9584853393,Coimbatore,Tamil Nadu,6,2025-02-12,4.0,Active,True
98,ClassicWorld,info@classicworld.com,9172083844,Bengaluru,Karnataka,2,2023-02-03,3.7,Active,True
99,ExpressHub,info@expresshub.com,9479673044,Kolkata,West Bengal,5,2022-12-22,4.8,Active,True
100,PrimeEssentials,hello@primeessentials.com,9494665673,Mysuru,Karnataka,10,2020-05-28,3.9,Active,True
101,BrightMarketplace,contact@brightmarketplace.com,9753903309,Ahmedabad,Gujarat,3,2022-09-25,3.1,Active,True
102,GalaxyRetail,contact@galaxyretail.com,9901131404,Lucknow,Uttar Pradesh,7,2022-11-30,4.7,Active,False
103,GreenMart,contact@greenmart.com,9267052653,New Delhi,Delhi,2,2023-05-19,4.2,Active,True
104,NationalHub,support@nationalhub.com,9828230915,Bhopal,Madhya Pradesh,9,2021-04-04,5.0,Active,True
105,GlobalWorld,support@globalworld.com,9410791488,Hyderabad,Telangana,1,2023-06-01,4.7,Active,True
106,StarEssentials,contact@staressentials.com,9526351920,Nashik,Maharashtra,1,2021-06-09,3.7,Active,True
107,NationalFashion,contact@nationalfashion.com,9534900128,Nagpur,Maharashtra,3,2025-09-24,4.3,Active,True
108,PrimeEnterprises,info@primeenterprises.com,9732295732,Kolkata,West Bengal,7,2026-02-02,4.7,Active,True
109,PrimePoint,hello@primepoint.com,9308202515,Warangal,Telangana,3,2018-10-27,4.6,Active,True
110,SmartSolutions,info@smartsolutions.com,9598165815,Bhopal,Madhya Pradesh,10,2022-10-24,3.8,Active,True
111,DigitalEssentials,hello@digitalessentials.com,9179661615,Surat,Gujarat,8,2017-01-25,3.5,Active,False
112,SaiBazaar,info@saibazaar.com,9723123952,Kanpur,Uttar Pradesh,1,2022-01-21,4.7,Active,True
113,PrimeLifestyle,contact@primelifestyle.com,9641755366,New Delhi,Delhi,4,2025-03-25,4.2,Active,False
114,SuperSupplies,support@supersupplies.com,9828960875,Indore,Madhya Pradesh,6,2018-07-13,4.2,Active,False
115,GreenWorld,support@greenworld.com,9187512088,Indore,Madhya Pradesh,6,2023-03-14,4.9,Active,True
116,BrightLifestyle,sales@brightlifestyle.com,9819532005,Lucknow,Uttar Pradesh,7,2021-02-07,4.6,Active,False
117,ShreeTraders,sales@shreetraders.com,9247709679,New Delhi,Delhi,5,2024-04-13,4.2,Active,True
118,StarLifestyle,hello@starlifestyle.com,9240712839,Bhopal,Madhya Pradesh,3,2018-12-06,4.0,Active,True
119,PremiumCenter,support@premiumcenter.com,9907873857,Jaipur,Rajasthan,9,2020-08-18,3.1,Active,True
120,MetroFashion,info@metrofashion.com,9639991949,Noida,Uttar Pradesh,3,2026-03-31,4.3,Active,True
121,PrimeFashion,contact@primefashion.com,9919390458,New Delhi,Delhi,8,2024-05-30,3.5,Inactive,False
122,ClassicRetail,info@classicretail.com,9157184151,Siliguri,West Bengal,4,2021-06-17,4.5,Inactive,False
123,EliteWorld,contact@eliteworld.com,9408034406,Jaipur,Rajasthan,8,2021-01-11,3.0,Active,True
124,GalaxyCenter,hello@galaxycenter.com,9554466340,Mysuru,Karnataka,4,2021-04-08,4.8,Active,True
125,ShreeCenter,hello@shreecenter.com,9117647321,Kanpur,Uttar Pradesh,4,2024-10-25,4.2,Active,True
126,SaiEssentials,contact@saiessentials.com,9664852025,Kanpur,Uttar Pradesh,9,2023-03-11,3.5,Active,True
127,ClassicMart,support@classicmart.com,9358906986,Hubballi,Karnataka,6,2019-12-23,4.3,Active,True
128,PremiumCorner,sales@premiumcorner.com,9971339002,New Delhi,Delhi,8,2016-02-17,4.6,Active,False
129,OmCorner,support@omcorner.com,9139321248,Coimbatore,Tamil Nadu,6,2024-02-18,3.6,Active,True
130,SuperOutlet,info@superoutlet.com,9464037804,New Delhi,Delhi,8,2023-11-30,4.5,Active,True
131,UrbanMarketplace,support@urbanmarketplace.com,9444898148,Bengaluru,Karnataka,6,2022-09-20,4.3,Active,True
132,PremiumStore,support@premiumstore.com,9760191749,Siliguri,West Bengal,1,2020-04-11,4.9,Active,False
133,StarOutlet,contact@staroutlet.com,9235538456,Bengaluru,Karnataka,6,2021-03-08,4.3,Inactive,True
134,MetroMart,hello@metromart.com,9247848992,Noida,Uttar Pradesh,7,2022-07-25,4.6,Active,True
135,SuperMarketplace,contact@supermarketplace.com,9381080560,Vadodara,Gujarat,8,2019-08-08,4.4,Active,True
136,SmartOutlet,sales@smartoutlet.com,9865975088,Jaipur,Rajasthan,6,2021-05-13,4.1,Active,True
137,ClassicPoint,sales@classicpoint.com,9230311939,Chennai,Tamil Nadu,4,2024-01-27,4.8,Active,False
138,SmartMart,support@smartmart.com,9527521016,Jodhpur,Rajasthan,7,2024-03-16,4.7,Active,True
139,EliteMarketplace,hello@elitemarketplace.com,9295381429,New Delhi,Delhi,9,2024-02-26,3.7,Active,True
140,NextEnterprises,support@nextenterprises.com,9657162259,Ahmedabad,Gujarat,5,2019-07-17,4.7,Active,True
141,UrbanIndia,hello@urbanindia.com,9265564833,New Delhi,Delhi,10,2015-02-28,5.0,Active,True
142,GlobalIndia,info@globalindia.com,9763688866,Nashik,Maharashtra,9,2022-09-11,4.3,Active,True
143,SmartStore,sales@smartstore.com,9572022811,Siliguri,West Bengal,8,2018-10-22,4.9,Active,False
144,SuperWorld,support@superworld.com,9652955706,Lucknow,Uttar Pradesh,6,2018-09-08,4.6,Active,True
145,SuperCenter,info@supercenter.com,9366578178,New Delhi,Delhi,10,2024-07-13,3.7,Active,True
146,FutureCorner,contact@futurecorner.com,9196689473,Siliguri,West Bengal,4,2019-12-24,4.6,Active,False
147,StarCorner,support@starcorner.com,9676267306,Mumbai,Maharashtra,7,2019-06-26,4.3,Active,True
148,GlobalEssentials,hello@globalessentials.com,9409883716,Mysuru,Karnataka,9,2022-07-27,3.7,Active,True
149,PrimeBazaar,support@primebazaar.com,9953514394,Warangal,Telangana,3,2020-11-08,4.0,Active,True
150,ShreePoint,info@shreepoint.com,9259923818,Indore,Madhya Pradesh,6,2024-11-22,5.0,Active,True
151,ExpressPoint,hello@expresspoint.com,9671595541,Jodhpur,Rajasthan,8,2025-01-12,4.6,Active,True
152,GreenCorner,support@greencorner.com,9803935444,Indore,Madhya Pradesh,1,2021-12-16,4.3,Active,True
153,StarEnterprises,contact@starenterprises.com,9714792641,Bengaluru,Karnataka,1,2023-05-08,4.8,Active,True
154,SaiTraders,hello@saitraders.com,9449019278,Jodhpur,Rajasthan,6,2025-04-15,3.1,Active,True
155,GlobalEnterprises,support@globalenterprises.com,9699240979,Ahmedabad,Gujarat,5,2025-12-22,4.9,Active,True
156,FutureHub,hello@futurehub.com,9826517607,Noida,Uttar Pradesh,7,2026-03-02,3.6,Active,True
157,BrightElectronics,info@brightelectronics.com,9329766590,Madurai,Tamil Nadu,5,2025-12-13,4.6,Active,True
158,DigitalPoint,sales@digitalpoint.com,9784987769,Chennai,Tamil Nadu,2,2023-08-26,4.9,Active,True
159,BrightCorner,info@brightcorner.com,9798510601,Coimbatore,Tamil Nadu,6,2021-05-02,3.0,Active,True
160,GalaxyStore,sales@galaxystore.com,9548700579,New Delhi,Delhi,7,2024-07-09,3.4,Inactive,False
161,TechFashion,hello@techfashion.com,9747233283,Mysuru,Karnataka,5,2023-12-10,4.4,Active,True
162,GlobalHub,support@globalhub.com,9274476883,Jodhpur,Rajasthan,3,2016-11-21,3.7,Active,True
163,BrightBazaar,info@brightbazaar.com,9653278397,Hyderabad,Telangana,7,2022-01-14,2.4,Inactive,True
164,SuperEnterprises,info@superenterprises.com,9909340042,Surat,Gujarat,5,2021-01-24,4.7,Active,True
165,UrbanBazaar,hello@urbanbazaar.com,9855438611,Vadodara,Gujarat,2,2022-08-28,4.6,Inactive,True
166,ClassicSupplies,hello@classicsupplies.com,9605547798,Kanpur,Uttar Pradesh,4,2025-11-27,3.8,Active,True
167,NextEssentials,contact@nextessentials.com,9705771555,Bengaluru,Karnataka,9,2024-07-26,4.1,Active,True
168,PrimeTraders,hello@primetraders.com,9624875038,Hubballi,Karnataka,8,2025-04-09,4.7,Active,True
169,StarFashion,contact@starfashion.com,9525146690,Ahmedabad,Gujarat,4,2021-04-03,4.3,Active,True
170,DigitalFashion,info@digitalfashion.com,9293253475,New Delhi,Delhi,6,2025-01-26,4.4,Active,True
171,StarMarketplace,sales@starmarketplace.com,9801726890,Hyderabad,Telangana,3,2025-02-06,4.3,Active,True
172,PremiumMarketplace,info@premiummarketplace.com,9671159367,Kolkata,West Bengal,4,2021-11-14,5.0,Active,True
173,StarSupplies,hello@starsupplies.com,9922543647,Pune,Maharashtra,4,2018-03-10,4.3,Active,True
174,DigitalBazaar,info@digitalbazaar.com,9351619881,Lucknow,Uttar Pradesh,1,2019-08-16,5.0,Active,True
175,MetroLifestyle,sales@metrolifestyle.com,9424017094,New Delhi,Delhi,7,2021-05-05,4.2,Active,True
176,SaiLifestyle,info@sailifestyle.com,9538364955,New Delhi,Delhi,7,2020-08-27,4.6,Active,True
177,OmSupplies,info@omsupplies.com,9698382096,Lucknow,Uttar Pradesh,7,2019-02-21,4.5,Active,True
178,DigitalElectronics,info@digitalelectronics.com,9823349713,Indore,Madhya Pradesh,2,2019-03-21,4.3,Active,False
179,TechTraders,sales@techtraders.com,9896152940,Hubballi,Karnataka,8,2025-12-13,4.1,Inactive,True
180,OmEssentials,support@omessentials.com,9380849661,Warangal,Telangana,8,2020-08-19,3.6,Active,True
181,DigitalIndia,sales@digitalindia.com,9895913682,New Delhi,Delhi,5,2023-05-06,4.6,Active,True
182,OmLifestyle,support@omlifestyle.com,9919652226,Jodhpur,Rajasthan,8,2019-12-23,4.9,Active,False
183,OmStore,hello@omstore.com,9136317983,Hubballi,Karnataka,1,2025-02-26,4.8,Active,True
184,GlobalPoint,info@globalpoint.com,9500721199,Nashik,Maharashtra,8,2017-12-25,4.0,Active,True
185,FutureRetail,hello@futureretail.com,9973120912,Kolkata,West Bengal,2,2025-06-20,4.6,Active,False
186,SmartEssentials,info@smartessentials.com,9592845076,Indore,Madhya Pradesh,4,2021-06-15,4.3,Active,True
187,SuperBazaar,hello@superbazaar.com,9611106584,Mumbai,Maharashtra,3,2020-06-07,4.1,Inactive,False
188,SaiStore,sales@saistore.com,9327007332,Bhopal,Madhya Pradesh,5,2015-06-02,4.1,Active,True
189,UrbanLifestyle,contact@urbanlifestyle.com,9322434334,Indore,Madhya Pradesh,7,2024-11-02,4.6,Active,True
190,NextMart,hello@nextmart.com,9900427880,Hyderabad,Telangana,2,2021-06-05,4.9,Inactive,True
191,TechElectronics,info@techelectronics.com,9626781451,Coimbatore,Tamil Nadu,9,2025-03-18,4.8,Active,True
192,FutureEnterprises,contact@futureenterprises.com,9188087644,Ahmedabad,Gujarat,7,2025-10-11,4.7,Active,True
193,PrimeWorld,contact@primeworld.com,9301210399,Siliguri,West Bengal,9,2023-04-16,4.5,Active,True
194,ExpressBazaar,contact@expressbazaar.com,9413368711,Siliguri,West Bengal,2,2025-07-26,3.4,Active,True
195,SuperSolutions,sales@supersolutions.com,9388749542,Surat,Gujarat,8,2018-12-09,4.2,Active,True
196,ModernEnterprises,info@modernenterprises.com,9737594763,Indore,Madhya Pradesh,8,2019-09-16,4.7,Active,True
197,ExpressOutlet,support@expressoutlet.com,9562370643,Indore,Madhya Pradesh,5,2022-02-16,4.1,Active,True
198,GalaxyCorner,hello@galaxycorner.com,9939638591,Coimbatore,Tamil Nadu,7,2023-03-16,5.0,Active,False
199,TechOutlet,sales@techoutlet.com,9570787423,Vadodara,Gujarat,2,2026-03-25,3.8,Active,True
200,ModernWorld,info@modernworld.com,9947264726,Kolkata,West Bengal,8,2025-05-05,4.2,Inactive,False
201,NextMarketplace,hello@nextmarketplace.com,9785240944,Bengaluru,Karnataka,4,2022-12-29,4.8,Active,True
202,TechHub,support@techhub.com,9338371847,Kanpur,Uttar Pradesh,9,2022-03-29,4.2,Active,True
203,SaiWorld,support@saiworld.com,9126373949,Jaipur,Rajasthan,5,2021-06-25,5.0,Active,True
204,PremiumTraders,hello@premiumtraders.com,9618537844,Warangal,Telangana,2,2023-07-16,4.7,Active,True
205,StarSolutions,sales@starsolutions.com,9654044237,New Delhi,Delhi,6,2023-08-05,4.7,Active,True
206,NationalBazaar,contact@nationalbazaar.com,9891764728,Indore,Madhya Pradesh,8,2023-03-08,4.6,Active,True
207,SmartIndia,contact@smartindia.com,9958459117,Lucknow,Uttar Pradesh,6,2023-07-27,4.8,Active,False
208,ExpressCenter,info@expresscenter.com,9756387421,Kolkata,West Bengal,6,2023-07-27,4.3,Active,True
209,GreenIndia,contact@greenindia.com,9821672704,New Delhi,Delhi,2,2018-08-28,4.8,Active,True
210,EliteIndia,info@eliteindia.com,9554234434,New Delhi,Delhi,9,2021-12-21,4.2,Active,True
211,TechCorner,sales@techcorner.com,9309517616,Siliguri,West Bengal,7,2023-05-02,4.2,Active,True
212,FutureStore,support@futurestore.com,9341423782,Noida,Uttar Pradesh,3,2025-08-02,4.3,Active,True
213,PrimeElectronics,hello@primeelectronics.com,9983993176,Hyderabad,Telangana,8,2023-05-21,4.9,Active,True
214,DigitalOutlet,support@digitaloutlet.com,9474281674,Mysuru,Karnataka,2,2024-08-30,4.9,Active,False
215,UrbanCenter,sales@urbancenter.com,9942725534,Chennai,Tamil Nadu,1,2023-12-27,4.8,Active,True
216,ModernPoint,contact@modernpoint.com,9245587477,Kolkata,West Bengal,5,2024-05-09,4.1,Active,True
217,RoyalBazaar,info@royalbazaar.com,9252655630,Bhopal,Madhya Pradesh,7,2021-06-04,4.4,Active,True
218,ModernEssentials,info@modernessentials.com,9624033772,Hyderabad,Telangana,2,2025-04-14,4.3,Active,True
219,SuperTraders,info@supertraders.com,9985673417,Coimbatore,Tamil Nadu,5,2022-08-04,4.8,Active,True
220,DigitalHub,info@digitalhub.com,9117481970,Bengaluru,Karnataka,8,2023-05-27,4.8,Active,True
221,UrbanElectronics,contact@urbanelectronics.com,9802858478,Warangal,Telangana,2,2021-12-05,4.8,Active,True
222,NationalMart,contact@nationalmart.com,9101166414,Coimbatore,Tamil Nadu,2,2019-04-09,4.2,Active,True
223,PrimeSupplies,sales@primesupplies.com,9612926731,Bengaluru,Karnataka,7,2018-07-29,4.7,Active,True
224,MetroWorld,sales@metroworld.com,9173456403,Kanpur,Uttar Pradesh,1,2021-12-03,4.3,Active,True
225,NationalCenter,info@nationalcenter.com,9333264702,Bengaluru,Karnataka,3,2025-08-26,4.1,Active,True
226,BrightMart,sales@brightmart.com,9694205108,Bhopal,Madhya Pradesh,1,2025-11-05,3.6,Active,True
227,SuperFashion,contact@superfashion.com,9941600554,Coimbatore,Tamil Nadu,7,2020-10-20,4.0,Active,True
228,ClassicLifestyle,sales@classiclifestyle.com,9515364404,Bhopal,Madhya Pradesh,6,2021-12-20,3.9,Active,True
229,SmartRetail,support@smartretail.com,9331652222,Mumbai,Maharashtra,7,2023-10-24,3.7,Active,True
230,OmCenter,sales@omcenter.com,9397928718,Mysuru,Karnataka,2,2022-02-21,2.1,Active,True
231,FutureSupplies,sales@futuresupplies.com,9162176039,Chennai,Tamil Nadu,7,2018-04-23,4.9,Active,True
232,NextRetail,sales@nextretail.com,9633019326,Warangal,Telangana,3,2022-07-05,4.0,Active,True
233,NationalElectronics,hello@nationalelectronics.com,9168582026,Vadodara,Gujarat,10,2023-10-14,4.1,Active,True
234,ModernHub,hello@modernhub.com,9823831302,Bengaluru,Karnataka,9,2015-01-26,4.7,Active,True
235,DigitalMarketplace,info@digitalmarketplace.com,9341071485,Hyderabad,Telangana,7,2024-11-23,4.5,Active,True
236,DigitalSolutions,sales@digitalsolutions.com,9963651372,Lucknow,Uttar Pradesh,7,2020-08-10,3.8,Active,True
237,PremiumRetail,support@premiumretail.com,9315469014,Vadodara,Gujarat,5,2024-09-05,4.2,Active,True
238,GlobalMarketplace,sales@globalmarketplace.com,9261669421,Nashik,Maharashtra,1,2019-12-11,4.3,Active,True
239,MetroBazaar,support@metrobazaar.com,9211614410,Madurai,Tamil Nadu,4,2021-05-03,2.1,Active,True
240,RoyalPoint,info@royalpoint.com,9852528635,Warangal,Telangana,2,2023-11-02,4.9,Active,True
241,NationalWorld,sales@nationalworld.com,9413184748,Surat,Gujarat,7,2026-01-23,4.7,Active,False
242,PrimeSolutions,info@primesolutions.com,9600422869,Warangal,Telangana,2,2022-03-02,4.2,Active,True
243,NextCenter,contact@nextcenter.com,9330876810,Hyderabad,Telangana,2,2024-12-30,4.5,Active,False
244,UrbanRetail,info@urbanretail.com,9585547305,Kanpur,Uttar Pradesh,9,2020-08-04,4.9,Active,True
245,EliteTraders,info@elitetraders.com,9499689381,Hubballi,Karnataka,10,2021-06-03,4.5,Inactive,True
