shipment_id,order_id,courier_partner,delivery_mode,shipment_date,estimated_delivery_date,actual_delivery_date,delivery_status,tracking_number,shipping_cost,shipping_distance_km,warehouse_location,delivery_city,delivery_attempts,delivery_rating,on_time_delivery,delay_reason
26,26,Ekart,Express,03-01-2023 02:00,06-01-2023,06-01-2023,Delivered,TRK3VLI7KQ1UYMR,233.12,1804,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
27,27,DTDC,Standard,04-01-2023 11:00,10-01-2023,10-01-2023,Delivered,TRKZR1YXR2DHYLU,148.49,1008,Hyderabad Warehouse,Delhi,1,5,TRUE,
28,28,Ecom Express,Standard,03-01-2023 11:00,10-01-2023,10-01-2023,Delivered,TRKET1GHR09SKDG,92.79,1312,Delhi Warehouse,Hyderabad,1,5,TRUE,
29,29,Ecom Express,Standard,03-01-2023 00:00,07-01-2023,06-01-2023,Delivered,TRK5UQPGB7R3OCW,186.46,440,Bengaluru Warehouse,Ahmedabad,1,4,TRUE,
30,30,DTDC,Standard,02-01-2023 01:00,09-01-2023,09-01-2023,Delivered,TRKQP49KWV08HHX,206.06,1578,Hyderabad Warehouse,Jaipur,1,5,TRUE,
31,31,Blue Dart,Standard,03-01-2023 11:00,10-01-2023,10-01-2023,Delivered,TRKY72WX7PTX63C,88.61,311,Chennai Warehouse,Ahmedabad,1,5,TRUE,
32,32,XpressBees,Next Day,03-01-2023 01:00,04-01-2023,04-01-2023,Delivered,TRKTPV60VAIY4VA,103.86,2069,Kolkata Warehouse,Bengaluru,1,4,TRUE,
33,33,Blue Dart,Standard,04-01-2023 07:00,10-01-2023,10-01-2023,Delivered,TRKMLY4LYK83TQL,162.92,1945,Ahmedabad Warehouse,Delhi,1,4,TRUE,
34,34,XpressBees,Express,02-01-2023 10:00,05-01-2023,06-01-2023,Delivered,TRKW1HT7PZE9VIF,79.39,2061,Pune Warehouse,Lucknow,1,5,FALSE,
35,35,Blue Dart,Same Day,02-01-2023 07:00,02-01-2023,,In Transit,TRKSJ49ITN7S55J,176.02,1215,Bengaluru Warehouse,Ahmedabad,0,,,
36,36,Ekart,Standard,04-01-2023 04:00,08-01-2023,08-01-2023,Delivered,TRKTMTTQLGZUI1B,102.7,1849,Ahmedabad Warehouse,Pune,1,4,TRUE,
37,37,Ekart,Same Day,04-01-2023 02:00,04-01-2023,04-01-2023,Delivered,TRKD6AF58C2JWOC,47.77,1823,Pune Warehouse,Delhi,1,3,TRUE,
38,38,Ekart,Same Day,04-01-2023 11:00,04-01-2023,04-01-2023,Delivered,TRKIYKID91ZDFKB,142.47,300,Mumbai Warehouse,Lucknow,1,5,TRUE,
39,39,DTDC,Standard,02-01-2023 08:00,09-01-2023,10-01-2023,Delivered,TRKVNYRUIWQY6QK,206.43,343,Bengaluru Warehouse,Pune,1,5,FALSE,
40,40,DTDC,Same Day,03-01-2023 10:00,03-01-2023,05-01-2023,Delayed,TRK94DNMKZA3OA5,184.97,835,Ahmedabad Warehouse,Bengaluru,3,2,FALSE,Warehouse Delay
41,41,Blue Dart,Standard,03-01-2023 03:00,08-01-2023,08-01-2023,Delivered,TRKLPU0DK0GET8T,182.33,181,Bengaluru Warehouse,Delhi,1,5,TRUE,
42,42,Ekart,Same Day,03-01-2023 11:00,03-01-2023,03-01-2023,Delivered,TRK1IYYO4UDOJEN,208.89,596,Ahmedabad Warehouse,Delhi,1,4,TRUE,
43,43,DTDC,Standard,03-01-2023 07:00,07-01-2023,07-01-2023,Delivered,TRKXWQZXEBB9EIT,238.07,926,Pune Warehouse,Lucknow,1,4,TRUE,
44,44,Ecom Express,Express,05-01-2023 06:00,07-01-2023,07-01-2023,Delivered,TRK7KYHQIN9N6XC,177.53,1691,Ahmedabad Warehouse,Lucknow,1,5,TRUE,
45,45,Ekart,Standard,03-01-2023 10:00,07-01-2023,07-01-2023,Delivered,TRKC1HH5LF6A4FE,110.04,860,Bengaluru Warehouse,Lucknow,1,5,TRUE,
46,46,Delhivery,Standard,04-01-2023 12:00,09-01-2023,10-01-2023,Delivered,TRK0S0R2SDS8B25,43.31,539,Chennai Warehouse,Mumbai,1,4,FALSE,
47,47,Delhivery,Standard,04-01-2023 06:00,11-01-2023,10-01-2023,Delivered,TRKLFEWVZNVKSP2,142.96,350,Ahmedabad Warehouse,Delhi,1,4,TRUE,
48,48,XpressBees,Express,03-01-2023 06:00,06-01-2023,06-01-2023,Delivered,TRK0LLJ8YRDDP0N,126.9,1723,Ahmedabad Warehouse,Kolkata,1,5,TRUE,
49,49,XpressBees,Standard,05-01-2023 01:00,12-01-2023,13-01-2023,Delivered,TRKVMUHXID4N1U3,179.72,1198,Kolkata Warehouse,Mumbai,2,4,FALSE,
50,50,XpressBees,Express,05-01-2023 00:00,08-01-2023,08-01-2023,Delivered,TRKA5UOFWB0HPMN,97.39,1457,Chennai Warehouse,Chennai,1,5,TRUE,
51,51,Delhivery,Next Day,03-01-2023 02:00,04-01-2023,04-01-2023,Delivered,TRKXRPJ1EPKYRYB,50.45,1834,Delhi Warehouse,Bengaluru,3,5,TRUE,
52,52,Blue Dart,Standard,03-01-2023 12:00,08-01-2023,08-01-2023,Delivered,TRK0GNZS43C5BA7,100.78,2057,Delhi Warehouse,Mumbai,1,5,TRUE,
53,53,Ecom Express,Standard,04-01-2023 01:00,11-01-2023,11-01-2023,Delivered,TRKPDPOC50H2CWT,108.2,380,Ahmedabad Warehouse,Chennai,2,5,TRUE,
54,54,Ecom Express,Same Day,05-01-2023 02:00,05-01-2023,05-01-2023,Delivered,TRKF1C8WQUUY5X9,70.75,2487,Hyderabad Warehouse,Pune,1,4,TRUE,
55,55,Blue Dart,Standard,04-01-2023 07:00,10-01-2023,09-01-2023,Delivered,TRKLQC3C54WSQT2,164.2,323,Pune Warehouse,Jaipur,1,4,TRUE,
56,56,Ecom Express,Standard,05-01-2023 07:00,10-01-2023,14-01-2023,Delayed,TRKXBZ9SVN7N1YB,134.61,2086,Pune Warehouse,Delhi,1,4,FALSE,Courier Issue
57,57,DTDC,Standard,05-01-2023 09:00,10-01-2023,11-01-2023,Delivered,TRK8ZOV7LN23Y30,162.38,1290,Bengaluru Warehouse,Chennai,1,4,FALSE,
58,58,XpressBees,Standard,04-01-2023 04:00,09-01-2023,12-01-2023,Delayed,TRK9FK2ST0SX5WV,111.76,947,Ahmedabad Warehouse,Hyderabad,1,2,FALSE,Customer Unavailable
59,59,Blue Dart,Express,03-01-2023 06:00,06-01-2023,06-01-2023,Delivered,TRK12II826GYUP1,89.88,1187,Ahmedabad Warehouse,Lucknow,1,5,TRUE,
60,60,Blue Dart,Express,05-01-2023 02:00,08-01-2023,07-01-2023,Delivered,TRKZSEDFQS3D635,140.92,440,Pune Warehouse,Jaipur,1,5,TRUE,
61,61,DTDC,Standard,03-01-2023 05:00,08-01-2023,09-01-2023,Delivered,TRKB7R31QW6AHF7,235.47,583,Pune Warehouse,Pune,1,5,FALSE,
62,62,DTDC,Standard,03-01-2023 00:00,08-01-2023,09-01-2023,Delivered,TRK4RTWUZKAMUGY,206.72,474,Ahmedabad Warehouse,Delhi,2,5,FALSE,
63,63,XpressBees,Standard,05-01-2023 08:00,09-01-2023,09-01-2023,Delivered,TRK0MCIXDU1EMMX,138.73,1058,Kolkata Warehouse,Chennai,3,5,TRUE,
64,64,Blue Dart,Express,03-01-2023 11:00,06-01-2023,06-01-2023,Delivered,TRK7S9TJ1GM25LE,82.33,1312,Hyderabad Warehouse,Mumbai,1,5,TRUE,
65,65,Ekart,Next Day,04-01-2023 05:00,05-01-2023,08-01-2023,Delayed,TRKJCPP9GKDLKQZ,144.2,2146,Ahmedabad Warehouse,Chennai,2,3,FALSE,Weather
66,66,Ecom Express,Next Day,04-01-2023 09:00,05-01-2023,07-01-2023,Returned,TRKN2Y8FV2BC2NN,97.66,1683,Mumbai Warehouse,Delhi,1,3,,
67,67,Blue Dart,Express,05-01-2023 05:00,08-01-2023,08-01-2023,Delivered,TRKXIE0RNUJJQ9K,160.52,1307,Pune Warehouse,Kolkata,1,5,TRUE,
68,68,Delhivery,Standard,06-01-2023 07:00,10-01-2023,10-01-2023,Delivered,TRKTKKFZZGNI92I,243.19,285,Pune Warehouse,Chennai,1,5,TRUE,
69,69,DTDC,Standard,06-01-2023 02:00,10-01-2023,10-01-2023,Delivered,TRK13C9XQYM52XG,123.61,1702,Ahmedabad Warehouse,Jaipur,1,3,TRUE,
70,70,Delhivery,Express,06-01-2023 02:00,09-01-2023,10-01-2023,Delivered,TRK64JWTEKTSG7F,107.76,2145,Hyderabad Warehouse,Chennai,1,4,FALSE,
71,71,XpressBees,Standard,04-01-2023 01:00,08-01-2023,,In Transit,TRKOXRWK8R2YKCC,201.91,2363,Chennai Warehouse,Hyderabad,0,,,
72,72,Ekart,Standard,05-01-2023 03:00,11-01-2023,11-01-2023,Delivered,TRKENULQJIDKNWI,105.64,1653,Pune Warehouse,Chennai,1,3,TRUE,
73,73,Ecom Express,Standard,04-01-2023 07:00,11-01-2023,11-01-2023,Delivered,TRKS8HMBR5XQT4P,104.79,1630,Mumbai Warehouse,Delhi,1,4,TRUE,
74,74,DTDC,Standard,04-01-2023 09:00,09-01-2023,10-01-2023,Delivered,TRK1K9YE9O2M71H,100.61,1864,Kolkata Warehouse,Jaipur,1,5,FALSE,
75,75,Delhivery,Standard,05-01-2023 12:00,12-01-2023,12-01-2023,Delivered,TRKF90KM3TZK3NY,71.28,1324,Bengaluru Warehouse,Chennai,1,4,TRUE,
76,76,Ecom Express,Next Day,06-01-2023 00:00,07-01-2023,07-01-2023,Delivered,TRKRSZ1N3IUZGPP,95.76,2410,Hyderabad Warehouse,Mumbai,1,5,TRUE,
77,77,XpressBees,Next Day,06-01-2023 11:00,07-01-2023,07-01-2023,Delivered,TRK9RN8QTTY5Y2J,69,1351,Hyderabad Warehouse,Jaipur,1,5,TRUE,
78,78,XpressBees,Standard,06-01-2023 12:00,12-01-2023,12-01-2023,Delivered,TRKM72JEYN9382K,184.95,1985,Ahmedabad Warehouse,Chennai,2,5,TRUE,
79,79,Ekart,Express,07-01-2023 07:00,09-01-2023,10-01-2023,Delivered,TRKWVIYTWBOZD1A,153.1,467,Chennai Warehouse,Pune,2,5,FALSE,
80,80,Ecom Express,Next Day,06-01-2023 07:00,07-01-2023,07-01-2023,Delivered,TRKX6DUT076G5G7,198.74,1189,Chennai Warehouse,Chennai,1,5,TRUE,
81,81,Ecom Express,Same Day,06-01-2023 00:00,06-01-2023,05-01-2023,Delivered,TRKQXS6ESJ3L0XZ,159.27,1185,Delhi Warehouse,Chennai,1,4,TRUE,
82,82,XpressBees,Express,05-01-2023 02:00,08-01-2023,08-01-2023,Delivered,TRKGFLIJI18K0AX,148.21,410,Delhi Warehouse,Kolkata,1,5,TRUE,
83,83,DTDC,Standard,07-01-2023 08:00,13-01-2023,14-01-2023,Delivered,TRKHEF0VOTQTXHI,174.13,924,Chennai Warehouse,Chennai,1,5,FALSE,
84,84,Ekart,Standard,06-01-2023 01:00,10-01-2023,09-01-2023,Delivered,TRKFLSEHUDS3QSQ,155.01,2218,Hyderabad Warehouse,Lucknow,1,4,TRUE,
85,85,DTDC,Express,06-01-2023 04:00,08-01-2023,08-01-2023,Delivered,TRKZTC69QKGEX08,161.45,1431,Mumbai Warehouse,Kolkata,3,5,TRUE,
86,86,Ekart,Standard,07-01-2023 10:00,12-01-2023,12-01-2023,Delivered,TRKT0IAAKYTT3IM,113.03,1629,Bengaluru Warehouse,Jaipur,1,3,TRUE,
87,87,Delhivery,Standard,07-01-2023 06:00,11-01-2023,12-01-2023,Delivered,TRKY5IBPT11F9I6,54.13,2468,Mumbai Warehouse,Ahmedabad,1,5,FALSE,
88,88,Ecom Express,Express,05-01-2023 04:00,07-01-2023,08-01-2023,Returned,TRKC856WPR97Y2L,149.46,1147,Kolkata Warehouse,Bengaluru,2,1,,
89,89,DTDC,Standard,07-01-2023 07:00,12-01-2023,12-01-2023,Delivered,TRKU8UEIHX74D0G,103.15,256,Bengaluru Warehouse,Ahmedabad,1,4,TRUE,
90,90,Delhivery,Next Day,05-01-2023 12:00,06-01-2023,06-01-2023,Delivered,TRK5L8A78E9RIVH,192.1,875,Hyderabad Warehouse,Ahmedabad,1,4,TRUE,
91,91,Ekart,Standard,07-01-2023 05:00,13-01-2023,13-01-2023,Delivered,TRK201LHLB50ATV,147.69,423,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
92,92,Blue Dart,Standard,05-01-2023 07:00,11-01-2023,10-01-2023,Delivered,TRK0MFTG698S4C3,212.53,709,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
93,93,Ecom Express,Standard,07-01-2023 02:00,11-01-2023,11-01-2023,Delivered,TRKXATOAZTKSZP7,135.76,1999,Mumbai Warehouse,Lucknow,1,5,TRUE,
94,94,Blue Dart,Standard,08-01-2023 08:00,14-01-2023,14-01-2023,Delivered,TRK8QIZK3C9XBON,96.14,1548,Kolkata Warehouse,Delhi,1,5,TRUE,
95,95,Blue Dart,Standard,07-01-2023 10:00,13-01-2023,12-01-2023,Delivered,TRKI6YUJ7YKTXG4,220.17,194,Delhi Warehouse,Jaipur,2,5,TRUE,
96,96,Ecom Express,Express,06-01-2023 04:00,08-01-2023,09-01-2023,Delivered,TRKN02YC0MDICVW,159.01,1378,Kolkata Warehouse,Jaipur,1,4,FALSE,
97,97,Delhivery,Standard,07-01-2023 07:00,12-01-2023,11-01-2023,Delivered,TRKXDW2ZCFZW0LD,237.64,2419,Kolkata Warehouse,Pune,2,5,TRUE,
98,98,DTDC,Standard,06-01-2023 02:00,13-01-2023,14-01-2023,Delivered,TRKDTV25AO20U9I,156.5,127,Kolkata Warehouse,Delhi,1,5,FALSE,
99,99,Blue Dart,Standard,07-01-2023 07:00,12-01-2023,12-01-2023,Delivered,TRK2N7ZRWQEAO4N,131.28,2003,Kolkata Warehouse,Bengaluru,1,5,TRUE,
100,100,Ecom Express,Same Day,06-01-2023 04:00,06-01-2023,06-01-2023,Delivered,TRKGOL0W82LK2N7,238.93,1306,Hyderabad Warehouse,Ahmedabad,1,5,TRUE,
101,101,Ecom Express,Express,06-01-2023 11:00,09-01-2023,,In Transit,TRKYFKJFPNQVUT7,84.03,1695,Chennai Warehouse,Delhi,0,,,
102,102,Ecom Express,Standard,06-01-2023 12:00,12-01-2023,13-01-2023,Delivered,TRKXMXB9YO18PAJ,210.58,1036,Delhi Warehouse,Delhi,1,5,FALSE,
103,103,Ecom Express,Standard,07-01-2023 05:00,14-01-2023,14-01-2023,Delivered,TRKRK7D30MM2SMD,182.71,120,Bengaluru Warehouse,Chennai,1,5,TRUE,
104,104,Ecom Express,Standard,07-01-2023 10:00,11-01-2023,11-01-2023,Delivered,TRKTLPQ2WGXO05Q,74.51,734,Hyderabad Warehouse,Jaipur,1,4,TRUE,
105,105,Blue Dart,Standard,08-01-2023 12:00,12-01-2023,12-01-2023,Delivered,TRKHEYR8LNOEMQG,207.9,1355,Bengaluru Warehouse,Chennai,2,5,TRUE,
106,106,Ecom Express,Standard,06-01-2023 03:00,12-01-2023,12-01-2023,Delivered,TRKPENGWYX9TRFL,118.39,1611,Bengaluru Warehouse,Jaipur,1,3,TRUE,
107,107,Delhivery,Standard,06-01-2023 06:00,13-01-2023,12-01-2023,Delivered,TRKCB1KJTGQ01TE,143.26,705,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
108,108,DTDC,Standard,06-01-2023 12:00,13-01-2023,14-01-2023,Delivered,TRK5BJ5D5E3H0Y4,247.85,1239,Delhi Warehouse,Hyderabad,1,5,FALSE,
109,109,Blue Dart,Express,06-01-2023 12:00,08-01-2023,08-01-2023,Delivered,TRKKJ49YD82795E,151.78,1218,Bengaluru Warehouse,Chennai,1,4,TRUE,
110,110,Blue Dart,Express,08-01-2023 06:00,11-01-2023,10-01-2023,Delivered,TRKC21O0Z5QRU54,172.8,1871,Kolkata Warehouse,Kolkata,1,5,TRUE,
111,111,Ecom Express,Express,06-01-2023 12:00,09-01-2023,09-01-2023,Delivered,TRKLKTE4261BW4A,130.23,1119,Hyderabad Warehouse,Ahmedabad,1,5,TRUE,
112,112,Ekart,Standard,08-01-2023 02:00,14-01-2023,14-01-2023,Delivered,TRKJN6FOKZIXZAR,235.87,1496,Chennai Warehouse,Delhi,1,5,TRUE,
113,113,Ekart,Standard,08-01-2023 05:00,12-01-2023,14-01-2023,Returned,TRKID3DNKN35XYC,128.69,310,Bengaluru Warehouse,Ahmedabad,1,3,,
114,114,Ecom Express,Standard,07-01-2023 11:00,12-01-2023,13-01-2023,Delivered,TRK4DD1VN8LFJDT,71.79,1832,Kolkata Warehouse,Lucknow,1,5,FALSE,
115,115,Ecom Express,Standard,08-01-2023 04:00,13-01-2023,14-01-2023,Delivered,TRK22INIWC5AMLN,147,243,Kolkata Warehouse,Bengaluru,1,5,FALSE,
116,116,Blue Dart,Express,07-01-2023 00:00,09-01-2023,09-01-2023,Delivered,TRKKZ1POXTFDC79,85.31,2095,Mumbai Warehouse,Kolkata,1,5,TRUE,
117,117,Ecom Express,Express,09-01-2023 10:00,11-01-2023,12-01-2023,Delivered,TRKDPQVL00EZZF8,131.87,1021,Hyderabad Warehouse,Mumbai,1,4,FALSE,
118,118,DTDC,Standard,07-01-2023 11:00,13-01-2023,14-01-2023,Delivered,TRKJCZUCQMRUNJD,64.79,1778,Mumbai Warehouse,Chennai,1,5,FALSE,
119,119,Ecom Express,Standard,07-01-2023 00:00,12-01-2023,12-01-2023,Delivered,TRKT60PLOZJCNS6,116.44,164,Bengaluru Warehouse,Pune,1,5,TRUE,
120,120,Delhivery,Same Day,07-01-2023 07:00,07-01-2023,07-01-2023,Delivered,TRKTAHUKWQVR1H6,202.44,373,Chennai Warehouse,Chennai,1,3,TRUE,
121,121,Delhivery,Standard,08-01-2023 10:00,12-01-2023,17-01-2023,Delayed,TRKH9P89FKBI4O6,40.31,445,Kolkata Warehouse,Bengaluru,3,4,FALSE,Weather
122,122,XpressBees,Standard,08-01-2023 01:00,12-01-2023,12-01-2023,Delivered,TRK47O3LQI7E1DD,242.49,1089,Hyderabad Warehouse,Bengaluru,1,5,TRUE,
123,123,XpressBees,Standard,07-01-2023 07:00,13-01-2023,12-01-2023,Delivered,TRK3ZB4LDIMSYJ9,219.02,1266,Delhi Warehouse,Pune,2,3,TRUE,
124,124,XpressBees,Express,07-01-2023 01:00,10-01-2023,10-01-2023,Delivered,TRK39E3NWXUJ3AC,206.7,272,Delhi Warehouse,Mumbai,1,5,TRUE,
125,125,DTDC,Standard,08-01-2023 00:00,13-01-2023,,In Transit,TRKNPM6JQFWWXR5,130.96,140,Kolkata Warehouse,Ahmedabad,0,,,
126,126,Ekart,Standard,08-01-2023 06:00,13-01-2023,13-01-2023,Delivered,TRK92MTR6SNGLH6,174.96,99,Hyderabad Warehouse,Jaipur,1,1,TRUE,
127,127,XpressBees,Standard,09-01-2023 03:00,14-01-2023,15-01-2023,Delivered,TRK18U9N79GIL0M,177.94,249,Chennai Warehouse,Jaipur,1,4,FALSE,
128,128,XpressBees,Standard,09-01-2023 03:00,16-01-2023,17-01-2023,Delivered,TRKIHSA7HEZ74LA,76.87,250,Mumbai Warehouse,Delhi,1,5,FALSE,
129,129,Delhivery,Express,08-01-2023 01:00,11-01-2023,12-01-2023,Delivered,TRKL90PXRLZU6WM,179.05,1256,Delhi Warehouse,Chennai,1,5,FALSE,
130,130,Ecom Express,Express,07-01-2023 02:00,09-01-2023,,In Transit,TRKGL3WXDRLCMLW,239.23,152,Kolkata Warehouse,Lucknow,0,,,
131,131,Delhivery,Express,09-01-2023 10:00,12-01-2023,13-01-2023,Delivered,TRKJDAN085RNTDR,95.69,1455,Hyderabad Warehouse,Delhi,1,4,FALSE,
132,132,Blue Dart,Standard,07-01-2023 04:00,11-01-2023,11-01-2023,Delivered,TRK5FC79M96ZPXV,239.85,716,Delhi Warehouse,Chennai,1,5,TRUE,
133,133,Blue Dart,Same Day,08-01-2023 11:00,08-01-2023,08-01-2023,Delivered,TRKIBU4FMPKXVHA,234.37,1238,Chennai Warehouse,Bengaluru,1,2,TRUE,
134,134,Ekart,Express,09-01-2023 12:00,12-01-2023,12-01-2023,Delivered,TRKNNNGBPJ4UFZD,227.92,2248,Chennai Warehouse,Delhi,1,5,TRUE,
135,135,XpressBees,Standard,08-01-2023 06:00,15-01-2023,18-01-2023,Delayed,TRKRC6ZS62YWE1G,184.28,985,Ahmedabad Warehouse,Lucknow,3,2,FALSE,Traffic
136,136,Delhivery,Standard,10-01-2023 06:00,15-01-2023,17-01-2023,Returned,TRKDUT4S7AZV2EF,171.72,294,Chennai Warehouse,Chennai,3,3,,
137,137,Delhivery,Next Day,10-01-2023 12:00,11-01-2023,11-01-2023,Delivered,TRKNRVBJFVYB6LI,100.08,1101,Pune Warehouse,Kolkata,2,3,TRUE,
138,138,Delhivery,Standard,09-01-2023 04:00,15-01-2023,15-01-2023,Delivered,TRKK01L0VDP6ORS,220.23,570,Delhi Warehouse,Hyderabad,1,5,TRUE,
139,139,Blue Dart,Standard,10-01-2023 08:00,17-01-2023,17-01-2023,Delivered,TRK5HCBBMHNQO7Y,218.77,809,Mumbai Warehouse,Pune,1,5,TRUE,
140,140,Blue Dart,Same Day,09-01-2023 09:00,09-01-2023,08-01-2023,Delivered,TRKAB42HHIHXS58,112.29,1187,Chennai Warehouse,Delhi,1,5,TRUE,
141,141,Blue Dart,Standard,08-01-2023 03:00,14-01-2023,15-01-2023,Delivered,TRK4QHKSWVA984U,238.03,1562,Chennai Warehouse,Kolkata,1,5,FALSE,
142,142,Delhivery,Standard,09-01-2023 04:00,15-01-2023,15-01-2023,Delivered,TRKSIC43OLFARK6,94.84,634,Chennai Warehouse,Hyderabad,1,5,TRUE,
143,143,Ecom Express,Same Day,08-01-2023 05:00,08-01-2023,07-01-2023,Delivered,TRKKGXUKQ00U686,86.7,2097,Ahmedabad Warehouse,Chennai,1,5,TRUE,
144,144,DTDC,Standard,09-01-2023 05:00,15-01-2023,15-01-2023,Delivered,TRK5V7C6S5NKB4E,137.39,239,Delhi Warehouse,Ahmedabad,1,1,TRUE,
145,145,Ekart,Standard,10-01-2023 02:00,14-01-2023,14-01-2023,Delivered,TRKAJ1G1R1DWWO8,172.52,257,Bengaluru Warehouse,Chennai,1,5,TRUE,
146,146,Ecom Express,Standard,08-01-2023 05:00,13-01-2023,13-01-2023,Delivered,TRKLDSLCB8QSSPY,40.87,1430,Hyderabad Warehouse,Hyderabad,1,3,TRUE,
147,147,DTDC,Express,08-01-2023 12:00,11-01-2023,10-01-2023,Delivered,TRKVGNXB5JTB9XX,87.11,109,Bengaluru Warehouse,Hyderabad,1,5,TRUE,
148,148,Ekart,Standard,10-01-2023 04:00,17-01-2023,17-01-2023,Delivered,TRKXXJVE3DZEEDH,83.15,1743,Mumbai Warehouse,Bengaluru,1,4,TRUE,
