order_id,customer_id,address_id,order_date,order_status,total_amount,order_source,expected_delivery_date,coupon_discount
59,3526,4757,07-01-2023,Delivered,14222.1,Website,10-01-2023,0
60,4725,6374,07-01-2023,Delivered,340.38,Website,13-01-2023,0
61,4992,6732,07-01-2023,Delivered,2711.97,Website,12-01-2023,0
62,5008,6756,07-01-2023,Returned,266.73,Website,10-01-2023,10
63,6929,9357,07-01-2023,Delivered,2304.94,Mobile App,12-01-2023,0
64,7481,10115,07-01-2023,Delivered,2076.15,Mobile App,10-01-2023,0
65,8221,11124,07-01-2023,Delivered,3608.15,Website,13-01-2023,20
66,8396,11360,07-01-2023,Delivered,873.52,Website,14-01-2023,0
67,8808,11932,07-01-2023,Delivered,5506.21,Website,11-01-2023,0
68,696,938,08-01-2023,Delivered,2767.45,Website,11-01-2023,5
69,2648,3570,08-01-2023,Delivered,7881.66,Website,10-01-2023,5
70,2961,4006,08-01-2023,Shipped,7273.61,Website,12-01-2023,0
71,3611,4878,08-01-2023,Delivered,2567.52,Mobile App,14-01-2023,0
72,5766,7799,08-01-2023,Delivered,4294.13,Website,13-01-2023,0
73,6370,8613,08-01-2023,Delivered,3973.27,Mobile App,11-01-2023,0
74,6918,9344,08-01-2023,Delivered,835.22,Website,11-01-2023,10
75,7320,9896,08-01-2023,Delivered,2570.66,Website,12-01-2023,0
76,8022,10847,08-01-2023,Delivered,2577.02,Website,10-01-2023,20
77,1852,2505,09-01-2023,Cancelled,1100.71,Website,13-01-2023,0
78,2534,3419,09-01-2023,Delivered,5625.82,Website,13-01-2023,0
79,3239,4363,09-01-2023,Delivered,1010.05,Mobile App,16-01-2023,0
80,3299,4444,09-01-2023,Delivered,928.3,Website,13-01-2023,0
81,4441,6000,09-01-2023,Delivered,308.54,Website,14-01-2023,0
82,5521,7465,09-01-2023,Cancelled,2556.4,Website,15-01-2023,0
83,5787,7823,09-01-2023,Delivered,542.65,Website,13-01-2023,0
84,6960,9392,09-01-2023,Delivered,671.52,Mobile App,16-01-2023,5
85,7929,10723,09-01-2023,Delivered,5060.4,Website,16-01-2023,0
86,8742,11843,09-01-2023,Delivered,1949.27,Website,11-01-2023,0
87,6422,8685,10-01-2023,Delivered,2185.21,Mobile App,14-01-2023,20
88,6522,8826,10-01-2023,Cancelled,2712.72,Website,15-01-2023,0
89,6673,9020,10-01-2023,Returned,11364.22,Website,16-01-2023,0
90,7915,10706,10-01-2023,Pending,943.62,Website,16-01-2023,0
91,8341,11285,10-01-2023,Delivered,2071.16,Website,12-01-2023,10
92,8738,11839,10-01-2023,Delivered,914.99,Website,14-01-2023,0
93,9474,12831,10-01-2023,Delivered,2713.63,Mobile App,13-01-2023,0
94,711,956,11-01-2023,Delivered,14129.3,Website,14-01-2023,0
95,3643,4918,11-01-2023,Shipped,621.68,Mobile App,13-01-2023,0
96,7313,9883,11-01-2023,Delivered,5993.19,Website,16-01-2023,0
97,9171,12417,11-01-2023,Delivered,976.11,Mobile App,14-01-2023,0
98,9751,13201,11-01-2023,Delivered,284.02,Website,13-01-2023,0
99,148,205,12-01-2023,Pending,1817.3,Website,18-01-2023,0
100,277,378,12-01-2023,Delivered,981.36,Mobile App,19-01-2023,0
101,660,895,12-01-2023,Delivered,1952.66,Website,17-01-2023,0
102,1091,1474,12-01-2023,Delivered,357.25,Mobile App,14-01-2023,0
103,1320,1796,12-01-2023,Delivered,2408.42,Website,17-01-2023,5
104,1998,2697,12-01-2023,Delivered,634.21,Website,16-01-2023,0
105,2751,3711,12-01-2023,Delivered,1642.03,Mobile App,18-01-2023,0
106,2886,3902,12-01-2023,Delivered,2804.6,Website,16-01-2023,10
107,3517,4746,12-01-2023,Delivered,2033.93,Website,15-01-2023,0
108,4325,5842,12-01-2023,Delivered,772.82,Mobile App,14-01-2023,5
109,4344,5864,12-01-2023,Delivered,6731.05,Website,19-01-2023,20
110,5112,6908,12-01-2023,Delivered,813.77,Website,16-01-2023,0
111,5298,7173,12-01-2023,Delivered,11742.43,Website,19-01-2023,0
112,5396,7301,12-01-2023,Delivered,4409.16,Website,18-01-2023,0
113,7274,9830,12-01-2023,Delivered,837.37,Mobile App,19-01-2023,0
114,7333,9913,12-01-2023,Delivered,2083.12,Website,17-01-2023,20
115,7384,9975,12-01-2023,Delivered,3532.27,Website,19-01-2023,0
116,8901,12058,12-01-2023,Delivered,2512,Mobile App,16-01-2023,0
117,9144,12381,12-01-2023,Delivered,4982.33,Website,18-01-2023,0
118,877,1191,13-01-2023,Delivered,11481.89,Mobile App,19-01-2023,10
119,3505,4731,13-01-2023,Delivered,343.94,Website,20-01-2023,0
120,7407,10008,13-01-2023,Confirmed,4777.71,Mobile App,20-01-2023,10
121,8864,12005,13-01-2023,Delivered,3497.97,Mobile App,19-01-2023,0
122,9489,12848,13-01-2023,Delivered,6118.58,Mobile App,20-01-2023,0
123,404,554,14-01-2023,Delivered,762.76,Website,21-01-2023,0
124,981,1326,14-01-2023,Pending,2194.78,Mobile App,22-01-2023,0
125,1964,2652,14-01-2023,Delivered,5651.12,Website,19-01-2023,0
126,2047,2765,14-01-2023,Shipped,5302.25,Website,18-01-2023,5
127,3109,4196,14-01-2023,Delivered,1494.91,Website,19-01-2023,10
128,3155,4254,14-01-2023,Delivered,12952.01,Mobile App,18-01-2023,0
129,3666,4945,14-01-2023,Delivered,2548.37,Website,21-01-2023,0
130,6631,8962,14-01-2023,Delivered,787.38,Mobile App,20-01-2023,10
131,7407,10008,14-01-2023,Delivered,1484.45,Website,20-01-2023,0
132,7737,10468,14-01-2023,Delivered,3563.26,Mobile App,17-01-2023,0
133,7802,10558,14-01-2023,Delivered,9925.06,Mobile App,19-01-2023,0
134,8491,11497,14-01-2023,Delivered,5768.13,Website,20-01-2023,10
135,8610,11668,14-01-2023,Returned,720.81,Website,19-01-2023,0
136,9162,12406,14-01-2023,Delivered,416.26,Mobile App,17-01-2023,10
137,9189,12443,14-01-2023,Delivered,6807,Mobile App,21-01-2023,0
138,9487,12846,14-01-2023,Delivered,3765.09,Website,21-01-2023,0
139,9548,12930,14-01-2023,Delivered,4944.77,Mobile App,16-01-2023,0
140,9952,13469,14-01-2023,Delivered,2367.42,Website,20-01-2023,10
141,1349,1833,15-01-2023,Delivered,11497.79,Website,21-01-2023,5
142,3479,4688,15-01-2023,Delivered,793.36,Website,21-01-2023,0
143,4587,6190,15-01-2023,Delivered,4318.12,Mobile App,19-01-2023,0
144,5603,7577,15-01-2023,Shipped,490.45,Mobile App,17-01-2023,5
145,5674,7676,15-01-2023,Delivered,2440.62,Mobile App,19-01-2023,0
146,6447,8722,15-01-2023,Delivered,2501.81,Website,21-01-2023,20
147,6632,8964,15-01-2023,Delivered,9382.45,Mobile App,22-01-2023,20
148,6824,9215,15-01-2023,Shipped,592.59,Mobile App,18-01-2023,20
149,7292,9857,15-01-2023,Delivered,12940.74,Website,21-01-2023,0
150,8524,11545,15-01-2023,Delivered,288.79,Mobile App,17-01-2023,0
151,8611,11669,15-01-2023,Delivered,620.35,Mobile App,18-01-2023,0
152,4993,6734,16-01-2023,Delivered,224.69,Website,20-01-2023,0
153,5866,7927,16-01-2023,Shipped,731.21,Mobile App,19-01-2023,0
154,5930,8011,16-01-2023,Delivered,2919.02,Website,18-01-2023,0
155,6066,8205,16-01-2023,Shipped,13048.14,Mobile App,21-01-2023,0
156,6767,9150,16-01-2023,Delivered,554.49,Mobile App,21-01-2023,0
157,9364,12676,16-01-2023,Confirmed,327.77,Mobile App,19-01-2023,0
158,9881,13373,16-01-2023,Shipped,346.45,Website,20-01-2023,10
159,1548,2094,17-01-2023,Delivered,10006.44,Mobile App,24-01-2023,0
160,1601,2168,17-01-2023,Delivered,1105.17,Website,23-01-2023,10
161,2383,3221,17-01-2023,Delivered,2364.89,Website,23-01-2023,5
162,2393,3235,17-01-2023,Delivered,13429.41,Website,24-01-2023,0
163,3084,4164,17-01-2023,Delivered,3383.47,Mobile App,22-01-2023,5
164,4621,6240,17-01-2023,Delivered,2465.79,Mobile App,21-01-2023,20
165,5545,7494,17-01-2023,Delivered,448.65,Website,24-01-2023,5
166,6347,8581,17-01-2023,Shipped,1556.68,Website,19-01-2023,0
167,6951,9381,17-01-2023,Delivered,2376.39,Website,20-01-2023,0
168,7656,10349,17-01-2023,Delivered,2180.43,Website,22-01-2023,0
169,7729,10456,17-01-2023,Delivered,249.2,Website,23-01-2023,0
170,8655,11729,17-01-2023,Delivered,2679.14,Website,19-01-2023,5
171,9381,12701,17-01-2023,Delivered,4969.24,Mobile App,22-01-2023,5
172,9447,12797,17-01-2023,Delivered,341.78,Mobile App,24-01-2023,10
173,1388,1885,18-01-2023,Delivered,2753.15,Website,23-01-2023,5
174,3467,4670,18-01-2023,Delivered,6486.5,Mobile App,24-01-2023,0
175,5578,7539,18-01-2023,Delivered,2735.22,Website,22-01-2023,0
176,6114,8274,18-01-2023,Delivered,2051.7,Mobile App,22-01-2023,0
177,9348,12658,18-01-2023,Delivered,784.49,Mobile App,25-01-2023,0
178,9805,13269,18-01-2023,Shipped,457.03,Website,21-01-2023,0
179,9910,13414,18-01-2023,Delivered,889.96,Website,24-01-2023,0
180,3293,4438,19-01-2023,Cancelled,449.07,Website,25-01-2023,5
181,5810,7856,19-01-2023,Confirmed,705.25,Website,23-01-2023,0
182,6473,8762,19-01-2023,Confirmed,7596.84,Mobile App,25-01-2023,5
183,6648,8988,19-01-2023,Delivered,807.75,Mobile App,23-01-2023,10
184,122,165,20-01-2023,Delivered,5942.63,Website,26-01-2023,0
185,1112,1504,20-01-2023,Delivered,1153.36,Mobile App,26-01-2023,0
186,1514,2041,20-01-2023,Delivered,10984.12,Website,23-01-2023,0
187,1521,2052,20-01-2023,Delivered,261.34,Mobile App,24-01-2023,10
188,2095,2831,20-01-2023,Delivered,1998.58,Website,24-01-2023,0
189,3385,4554,20-01-2023,Delivered,1009.73,Website,27-01-2023,20
190,5501,7441,20-01-2023,Delivered,2159.96,Website,27-01-2023,20
191,5974,8073,20-01-2023,Cancelled,615.37,Website,27-01-2023,0
192,6433,8701,20-01-2023,Delivered,456.35,Website,23-01-2023,0
193,7132,9632,20-01-2023,Delivered,435.28,Website,26-01-2023,10
194,7369,9957,20-01-2023,Delivered,2632.61,Website,26-01-2023,5
195,8670,11750,20-01-2023,Delivered,2653.75,Mobile App,22-01-2023,0
196,9136,12371,20-01-2023,Delivered,13075.74,Website,27-01-2023,0
197,9782,13241,20-01-2023,Delivered,1939.17,Website,22-01-2023,10
198,339,463,21-01-2023,Delivered,2411.51,Mobile App,28-01-2023,5
199,862,1167,21-01-2023,Delivered,1413.68,Website,25-01-2023,0
200,1356,1841,21-01-2023,Delivered,2691.08,Website,24-01-2023,20
201,1413,1915,21-01-2023,Delivered,8904.82,Mobile App,26-01-2023,0
202,2111,2852,21-01-2023,Confirmed,1154.76,Website,28-01-2023,5
203,4101,5535,21-01-2023,Delivered,802.41,Website,23-01-2023,5
204,4868,6567,21-01-2023,Delivered,1306.13,Website,23-01-2023,10
205,5337,7221,21-01-2023,Delivered,755.21,Website,24-01-2023,0
206,5486,7422,21-01-2023,Delivered,818.78,Website,26-01-2023,0
207,6201,8388,21-01-2023,Delivered,7553.67,Mobile App,26-01-2023,0
208,8418,11388,21-01-2023,Pending,1390.07,Mobile App,29-01-2023,0
209,2030,2739,22-01-2023,Delivered,982.23,Website,24-01-2023,0
210,2796,3773,22-01-2023,Shipped,439.7,Website,26-01-2023,10
211,4725,6374,22-01-2023,Pending,3418.7,Mobile App,30-01-2023,10
212,7806,10562,22-01-2023,Delivered,8354.57,Website,29-01-2023,5
213,8238,11144,22-01-2023,Delivered,1318.21,Website,26-01-2023,0
214,1141,1548,23-01-2023,Delivered,5557.85,Website,27-01-2023,0
215,2216,2987,23-01-2023,Confirmed,979.38,Mobile App,29-01-2023,0
216,2245,3023,23-01-2023,Delivered,1523.27,Website,25-01-2023,20
217,5574,7535,23-01-2023,Confirmed,2519.99,Mobile App,27-01-2023,0
218,8454,11446,23-01-2023,Delivered,833.31,Website,29-01-2023,5
219,8570,11612,23-01-2023,Delivered,973.3,Website,30-01-2023,0
220,8902,12061,23-01-2023,Delivered,2842.93,Website,26-01-2023,5
221,323,440,24-01-2023,Delivered,2106.34,Website,27-01-2023,0
222,1664,2255,24-01-2023,Delivered,954.48,Website,28-01-2023,0
223,2777,3746,24-01-2023,Delivered,3303.89,Website,28-01-2023,10
224,3175,4279,24-01-2023,Delivered,2711.86,Mobile App,28-01-2023,0
225,3648,4924,24-01-2023,Delivered,1526.96,Mobile App,31-01-2023,0
226,4561,6152,24-01-2023,Pending,7641.09,Mobile App,31-01-2023,10
227,6817,9207,24-01-2023,Delivered,1112.86,Website,28-01-2023,0
228,7062,9537,24-01-2023,Delivered,2508.2,Website,26-01-2023,0
229,7687,10397,24-01-2023,Delivered,604.6,Website,26-01-2023,0
230,8072,10917,24-01-2023,Delivered,1174.92,Website,28-01-2023,0
231,8852,11990,24-01-2023,Delivered,886.76,Mobile App,26-01-2023,5
232,9923,13432,24-01-2023,Confirmed,6709.77,Mobile App,30-01-2023,5
233,79,103,25-01-2023,Shipped,435.16,Website,29-01-2023,0
234,158,221,25-01-2023,Delivered,1721.42,Mobile App,30-01-2023,0
235,2516,3391,25-01-2023,Shipped,568.24,Website,27-01-2023,0
236,2842,3841,25-01-2023,Delivered,2917.82,Mobile App,27-01-2023,0
237,3011,4071,25-01-2023,Cancelled,2003.8,Mobile App,31-01-2023,0
238,4063,5486,25-01-2023,Cancelled,2300.5,Website,29-01-2023,0
239,4509,6086,25-01-2023,Delivered,2504.92,Mobile App,29-01-2023,0
240,4524,6105,25-01-2023,Delivered,876.46,Website,27-01-2023,0
241,6404,8664,25-01-2023,Pending,1055.85,Mobile App,01-02-2023,20
242,8482,11486,25-01-2023,Shipped,5630.94,Website,30-01-2023,0
243,8783,11894,25-01-2023,Delivered,821.48,Mobile App,01-02-2023,5
244,1947,2631,26-01-2023,Delivered,3432.87,Mobile App,31-01-2023,0
245,2148,2897,26-01-2023,Delivered,1975.07,Website,01-02-2023,0
246,3597,4855,26-01-2023,Pending,356.47,Website,30-01-2023,0
247,3864,5221,26-01-2023,Delivered,6653.29,Website,31-01-2023,0
248,4949,6673,26-01-2023,Pending,280.82,Mobile App,30-01-2023,0
249,5202,7041,26-01-2023,Delivered,6058.76,Mobile App,01-02-2023,0
250,7033,9498,26-01-2023,Shipped,2896.15,Mobile App,29-01-2023,0
251,7638,10326,26-01-2023,Shipped,288.71,Website,31-01-2023,20
252,7879,10658,26-01-2023,Shipped,2620.67,Mobile App,29-01-2023,0
253,8045,10880,26-01-2023,Delivered,2771.87,Mobile App,28-01-2023,5
254,8482,11486,26-01-2023,Delivered,26451.48,Website,29-01-2023,5
255,9361,12673,26-01-2023,Delivered,359.36,Mobile App,31-01-2023,5
256,718,965,27-01-2023,Delivered,7288.12,Website,02-02-2023,10
257,1179,1600,27-01-2023,Delivered,4728.05,Website,03-02-2023,0
258,3776,5106,27-01-2023,Delivered,1543.97,Mobile App,30-01-2023,0
259,6461,8741,27-01-2023,Delivered,3096.86,Website,03-02-2023,0
260,6856,9265,27-01-2023,Delivered,469.79,Website,01-02-2023,0
261,6893,9310,27-01-2023,Delivered,4644.54,Mobile App,29-01-2023,0
262,7082,9565,27-01-2023,Pending,427.93,Mobile App,02-02-2023,5
263,8760,11865,27-01-2023,Delivered,1942.91,Mobile App,01-02-2023,0
264,9070,12286,27-01-2023,Delivered,1477.17,Website,29-01-2023,5
265,9699,13132,27-01-2023,Delivered,5444.8,Website,31-01-2023,5
266,61,81,28-01-2023,Pending,5183.33,Website,04-02-2023,0
267,1212,1643,28-01-2023,Delivered,637.79,Mobile App,30-01-2023,0
268,1588,2152,28-01-2023,Delivered,7226.01,Mobile App,30-01-2023,0
269,2599,3506,28-01-2023,Delivered,754.66,Website,03-02-2023,0
270,3837,5190,28-01-2023,Delivered,2159.34,Mobile App,02-02-2023,0
271,5171,6997,28-01-2023,Delivered,2443.07,Website,02-02-2023,0
272,6068,8208,28-01-2023,Delivered,640.7,Website,04-02-2023,0
273,7209,9740,28-01-2023,Delivered,1407.35,Mobile App,30-01-2023,0
274,8313,11246,28-01-2023,Pending,5243.3,Website,01-02-2023,0
275,9397,12723,28-01-2023,Pending,1596.39,Website,02-02-2023,0
276,9707,13147,28-01-2023,Delivered,822.82,Mobile App,02-02-2023,10
277,1416,1918,29-01-2023,Delivered,2092.05,Website,01-02-2023,0
278,1840,2486,29-01-2023,Delivered,1653.37,Mobile App,03-02-2023,0
279,2553,3446,29-01-2023,Delivered,1875.81,Website,02-02-2023,0
280,3979,5372,29-01-2023,Delivered,829.29,Mobile App,04-02-2023,0
281,4247,5736,29-01-2023,Confirmed,2165.6,Website,02-02-2023,0
282,5228,7077,29-01-2023,Delivered,2866.2,Mobile App,02-02-2023,0
283,5893,7966,29-01-2023,Delivered,662.47,Mobile App,01-02-2023,0
284,6280,8489,29-01-2023,Delivered,2263.18,Mobile App,31-01-2023,0
285,8334,11275,29-01-2023,Delivered,2835.81,Website,04-02-2023,0
286,8830,11960,29-01-2023,Delivered,771.55,Mobile App,31-01-2023,0
287,9558,12942,29-01-2023,Delivered,521.41,Website,01-02-2023,0
288,1189,1612,30-01-2023,Delivered,767.33,Website,05-02-2023,5
289,2632,3550,30-01-2023,Delivered,2711.73,Website,03-02-2023,0
290,3346,4505,30-01-2023,Delivered,315.85,Website,05-02-2023,5
291,5249,7113,30-01-2023,Shipped,259.75,Website,03-02-2023,10
292,5430,7349,30-01-2023,Delivered,1938.55,Mobile App,01-02-2023,0
293,5436,7357,30-01-2023,Delivered,2218.34,Mobile App,03-02-2023,0
294,6416,8679,30-01-2023,Delivered,538.3,Website,01-02-2023,0
295,6575,8891,30-01-2023,Delivered,318.69,Website,02-02-2023,10
296,6779,9163,30-01-2023,Delivered,1359.43,Mobile App,04-02-2023,0
297,7632,10316,30-01-2023,Delivered,2183.86,Website,03-02-2023,0
298,7991,10804,30-01-2023,Delivered,1428.58,Mobile App,02-02-2023,5
299,8506,11515,30-01-2023,Delivered,2397.15,Mobile App,02-02-2023,0
300,9607,13010,30-01-2023,Delivered,465.66,Website,06-02-2023,0
301,9751,13201,30-01-2023,Delivered,1401.17,Mobile App,02-02-2023,20
302,1452,1962,31-01-2023,Delivered,916.64,Website,04-02-2023,0
303,2647,3569,31-01-2023,Delivered,375.41,Mobile App,07-02-2023,0
304,3044,4112,31-01-2023,Delivered,642.51,Website,05-02-2023,20
305,4144,5597,31-01-2023,Delivered,723.17,Mobile App,03-02-2023,0
306,4374,5907,31-01-2023,Delivered,529.72,Website,06-02-2023,10
307,4734,6387,31-01-2023,Shipped,3751.51,Website,04-02-2023,5
308,4799,6480,31-01-2023,Delivered,2911.01,Mobile App,04-02-2023,0
309,5310,7189,31-01-2023,Delivered,501.67,Website,07-02-2023,0
310,6530,8836,31-01-2023,Delivered,7645.15,Website,03-02-2023,20
311,7957,10762,31-01-2023,Delivered,3041.38,Website,03-02-2023,0
312,8940,12110,31-01-2023,Shipped,6535.14,Website,02-02-2023,0
313,8988,12172,31-01-2023,Delivered,2711.55,Website,02-02-2023,0
314,9581,12977,31-01-2023,Pending,1997.21,Website,05-02-2023,0
315,883,1198,01-02-2023,Delivered,5514.19,Mobile App,04-02-2023,10
316,1024,1384,01-02-2023,Delivered,510.8,Website,06-02-2023,0
317,1035,1398,01-02-2023,Shipped,2900.4,Website,03-02-2023,0
318,2005,2707,01-02-2023,Cancelled,7854.35,Website,04-02-2023,0
319,2789,3763,01-02-2023,Delivered,257.63,Mobile App,05-02-2023,0
320,3464,4666,01-02-2023,Delivered,12386.34,Website,05-02-2023,0
321,3675,4955,01-02-2023,Shipped,6856.26,Website,03-02-2023,0
322,4007,5408,01-02-2023,Delivered,6947.09,Website,03-02-2023,5
323,4151,5604,01-02-2023,Delivered,3663.97,Website,05-02-2023,0
324,4381,5915,01-02-2023,Delivered,421.22,Mobile App,06-02-2023,0
325,4623,6242,01-02-2023,Delivered,7306.42,Website,05-02-2023,0
326,5197,7033,01-02-2023,Delivered,7559.23,Mobile App,08-02-2023,0
327,5740,7764,01-02-2023,Delivered,396.17,Website,03-02-2023,10
328,5934,8017,01-02-2023,Delivered,463.1,Mobile App,08-02-2023,10
329,7091,9576,01-02-2023,Delivered,2755.93,Mobile App,05-02-2023,0
330,7512,10159,01-02-2023,Shipped,402.63,Mobile App,03-02-2023,20
331,8764,11870,01-02-2023,Delivered,869.52,Website,05-02-2023,0
332,8837,11968,01-02-2023,Cancelled,3774.89,Website,03-02-2023,5
333,2230,3004,02-02-2023,Shipped,211.14,Website,04-02-2023,0
334,4386,5924,02-02-2023,Delivered,304.88,Mobile App,04-02-2023,0
335,4643,6266,02-02-2023,Delivered,1686.89,Mobile App,07-02-2023,0
336,4778,6447,02-02-2023,Shipped,379.73,Website,05-02-2023,0
337,7476,10107,02-02-2023,Delivered,234.55,Website,06-02-2023,0
338,7893,10677,02-02-2023,Delivered,621.81,Mobile App,08-02-2023,20
339,8355,11305,02-02-2023,Delivered,3048.07,Website,09-02-2023,10
340,8433,11416,02-02-2023,Pending,11747.25,Mobile App,08-02-2023,0
341,8613,11673,02-02-2023,Pending,2115.77,Website,08-02-2023,5
342,183,251,03-02-2023,Delivered,1974.5,Website,07-02-2023,0
343,718,966,03-02-2023,Delivered,12490.36,Website,07-02-2023,5
344,1339,1818,03-02-2023,Delivered,406.79,Website,10-02-2023,5
345,1523,2057,03-02-2023,Delivered,2757.14,Mobile App,10-02-2023,0
346,1943,2626,03-02-2023,Delivered,2300.44,Mobile App,08-02-2023,0
347,2650,3572,03-02-2023,Pending,264.42,Website,09-02-2023,0
348,3108,4195,03-02-2023,Shipped,2378.35,Website,07-02-2023,0
349,3543,4780,03-02-2023,Delivered,2434.87,Website,09-02-2023,0
350,4114,5556,03-02-2023,Delivered,2821.63,Mobile App,10-02-2023,20
351,5671,7672,03-02-2023,Cancelled,29103.17,Website,06-02-2023,0
352,7854,10629,03-02-2023,Delivered,239.8,Mobile App,05-02-2023,5
353,8447,11435,03-02-2023,Delivered,1513.53,Mobile App,06-02-2023,5
354,8919,12082,03-02-2023,Delivered,20194.34,Website,10-02-2023,0
355,8992,12177,03-02-2023,Delivered,2749.9,Mobile App,08-02-2023,20
356,9252,12526,03-02-2023,Delivered,3396.51,Mobile App,06-02-2023,0
357,911,1232,04-02-2023,Delivered,23007.44,Mobile App,11-02-2023,5
358,1389,1886,04-02-2023,Delivered,2645.28,Website,09-02-2023,10
359,1889,2555,04-02-2023,Delivered,302.29,Website,07-02-2023,10
360,3574,4820,04-02-2023,Shipped,2427,Website,06-02-2023,0
361,4510,6087,04-02-2023,Confirmed,11383.62,Mobile App,09-02-2023,20
362,6094,8245,04-02-2023,Delivered,1765.33,Mobile App,11-02-2023,0
363,6497,8795,04-02-2023,Delivered,14104.05,Mobile App,07-02-2023,0
364,6986,9431,04-02-2023,Delivered,567.5,Website,08-02-2023,0
365,7176,9696,04-02-2023,Cancelled,2151.88,Website,06-02-2023,0
366,7255,9804,04-02-2023,Shipped,3494.31,Website,07-02-2023,0
367,8738,11839,04-02-2023,Delivered,407.91,Website,10-02-2023,0
368,8921,12085,04-02-2023,Delivered,9777,Website,08-02-2023,5
369,9675,13101,04-02-2023,Shipped,1949.46,Website,07-02-2023,0
