product_id,product_name,category_id,seller_id,brand,stock_keeping_unit,price,cost_price,discount_percentage,description,average_rating,total_reviews,launch_date,is_active
29,Milton Advanced Induction Cooktop,3,6,Milton,HMK-MIL-00029,6652.47,5471.31,0,"Milton Induction Cooktop designed for quality, durability and everyday use.",4.4,61,2023-04-01,True
30,Philips Pro Storage Box,3,6,Philips,HMK-PHI-00030,4458.76,3043.33,15,"Philips Storage Box designed for quality, durability and everyday use.",4.5,678,2020-11-01,True
31,Milton Eco Induction Cooktop,3,6,Milton,HMK-MIL-00031,4128.3,2428.41,5,"Milton Induction Cooktop designed for quality, durability and everyday use.",4.0,243,2023-03-23,True
32,Lego Eco Building Blocks,7,7,Lego,TOY-LEG-00032,4443.85,2985.88,15,"Lego Building Blocks designed for quality, durability and everyday use.",4.9,150,2023-11-29,True
33,Lego Max Toy Car,7,7,Lego,TOY-LEG-00033,3955.46,2664.06,15,"Lego Toy Car designed for quality, durability and everyday use.",4.3,230,2020-11-22,True
34,Lego Smart Doll,7,7,Lego,TOY-LEG-00034,1157.95,955.93,5,"Lego Doll designed for quality, durability and everyday use.",4.1,46,2024-04-01,True
35,Barbie Pro Building Blocks,7,7,Barbie,TOY-BAR-00035,4348.89,3653.36,5,"Barbie Building Blocks designed for quality, durability and everyday use.",4.4,21,2026-01-03,True
36,Oxford Plus Dictionary,4,8,Oxford,BOO-OXF-00036,1930.69,1215.64,0,"Oxford Dictionary designed for quality, durability and everyday use.",4.6,151,2024-10-04,True
37,Pearson Elite Novel,4,8,Pearson,BOO-PEA-00037,1814.08,1101.19,0,"Pearson Novel designed for quality, durability and everyday use.",4.6,43,2026-01-07,True
38,HarperCollins Elite Textbook,4,8,HarperCollins,BOO-HAR-00038,279.45,209.38,5,"HarperCollins Textbook designed for quality, durability and everyday use.",4.8,169,2024-09-07,True
39,Levis Pro Shirt,2,9,Levis,FAS-LEV-00039,4568.98,2775.89,15,"Levis Shirt designed for quality, durability and everyday use.",4.7,375,2023-12-23,True
40,Levis Premium Dress,2,9,Levis,FAS-LEV-00040,2639.84,1618.37,20,"Levis Dress designed for quality, durability and everyday use.",4.5,306,2022-06-23,True
41,Allen Solly Ultra Jacket,2,9,Allen Solly,FAS-ALL-00041,5373.15,3412.68,15,"Allen Solly Jacket designed for quality, durability and everyday use.",4.4,848,2018-08-29,True
42,H&M Ultra Jeans,2,9,H&M,FAS-H&M-00042,488.08,304.29,10,"H&M Jeans designed for quality, durability and everyday use.",4.1,784,2019-03-01,True
43,Zara Elite Shirt,2,9,Zara,FAS-ZAR-00043,4106.7,2559.28,15,"Zara Shirt designed for quality, durability and everyday use.",5.0,277,2023-08-07,True
44,Dettol Premium First Aid Kit,9,10,Dettol,HEA-DET-00044,2831.29,2336.5,0,"Dettol First Aid Kit designed for quality, durability and everyday use.",4.9,163,2025-12-23,True
45,Ensure Eco First Aid Kit,9,10,Ensure,HEA-ENS-00045,2284.98,1365.84,25,"Ensure First Aid Kit designed for quality, durability and everyday use.",4.6,236,2024-07-21,True
46,Ensure Pro Vitamin Tablets,9,10,Ensure,HEA-ENS-00046,2255.38,1723.25,5,"Ensure Vitamin Tablets designed for quality, durability and everyday use.",4.7,130,2023-06-15,True
47,Ensure Smart Vitamin Tablets,9,10,Ensure,HEA-ENS-00047,414.72,278.81,10,"Ensure Vitamin Tablets designed for quality, durability and everyday use.",4.7,279,2022-05-10,True
48,Dettol Plus Protein Powder,9,10,Dettol,HEA-DET-00048,1963.87,1083.6,5,"Dettol Protein Powder designed for quality, durability and everyday use.",4.3,157,2025-05-08,True
49,Dettol Advanced Vitamin Tablets,9,10,Dettol,HEA-DET-00049,1175.17,800.0,0,"Dettol Vitamin Tablets designed for quality, durability and everyday use.",4.7,62,2025-04-08,True
50,Mamaearth Premium Moisturizer,5,11,Mamaearth,BEA-MAM-00050,4548.6,3309.42,15,"Mamaearth Moisturizer designed for quality, durability and everyday use.",5.0,66,2025-08-03,True
51,Loreal Smart Serum,5,11,Loreal,BEA-LOR-00051,2355.29,1533.88,25,"Loreal Serum designed for quality, durability and everyday use.",4.8,84,2025-05-13,True
52,Loreal Eco Face Wash,5,11,Loreal,BEA-LOR-00052,402.62,336.42,5,"Loreal Face Wash designed for quality, durability and everyday use.",5.0,75,2023-03-24,True
53,Maybelline Plus Face Wash,5,11,Maybelline,BEA-MAY-00053,889.05,522.64,15,"Maybelline Face Wash designed for quality, durability and everyday use.",4.5,477,2021-06-08,True
54,Mamaearth Classic Sunscreen,5,11,Mamaearth,BEA-MAM-00054,3922.29,2349.96,5,"Mamaearth Sunscreen designed for quality, durability and everyday use.",4.5,43,2026-03-25,True
55,Loreal Smart Lipstick,5,11,Loreal,BEA-LOR-00055,518.58,392.66,15,"Loreal Lipstick designed for quality, durability and everyday use.",5.0,7,2026-05-14,True
56,Mamaearth Max Face Wash,5,11,Mamaearth,BEA-MAM-00056,2733.81,2046.14,0,"Mamaearth Face Wash designed for quality, durability and everyday use.",4.4,641,2019-03-07,True
57,Asus Elite Tablet,1,12,Asus,ELE-ASU-00057,28068.27,19830.91,15,"Asus Tablet designed for quality, durability and everyday use.",4.4,139,2025-09-17,True
58,Lenovo Smart Monitor,1,12,Lenovo,ELE-LEN-00058,124948.19,71970.02,25,"Lenovo Monitor designed for quality, durability and everyday use.",4.8,42,2026-06-03,True
59,Samsung Max Mouse,1,12,Samsung,ELE-SAM-00059,28912.3,17741.63,20,"Samsung Mouse designed for quality, durability and everyday use.",4.7,182,2024-07-19,True
60,HP Smart Smartphone,1,12,HP,ELE-HP-00060,108571.05,75627.7,20,"HP Smartphone designed for quality, durability and everyday use.",4.4,134,2025-10-02,True
61,Apple Smart Headphones,1,12,Apple,ELE-APP-00061,61851.37,38532.88,15,"Apple Headphones designed for quality, durability and everyday use.",4.7,148,2024-12-05,False
62,Sony Advanced Monitor,1,12,Sony,ELE-SON-00062,42095.63,26327.5,0,"Sony Monitor designed for quality, durability and everyday use.",4.9,296,2021-01-14,True
63,Asus Plus Headphones,1,12,Asus,ELE-ASU-00063,146537.84,103659.56,5,"Asus Headphones designed for quality, durability and everyday use.",5.0,469,2021-04-10,True
64,Samsung Pro Tablet,1,12,Samsung,ELE-SAM-00064,8736.32,4947.88,5,"Samsung Tablet designed for quality, durability and everyday use.",3.8,46,2025-10-02,True
65,Ensure Advanced First Aid Kit,9,13,Ensure,HEA-ENS-00065,1769.46,1485.73,5,"Ensure First Aid Kit designed for quality, durability and everyday use.",4.0,530,2020-05-13,True
66,Dettol Ultra Protein Powder,9,13,Dettol,HEA-DET-00066,831.07,597.42,5,"Dettol Protein Powder designed for quality, durability and everyday use.",3.5,390,2022-05-02,True
67,Dettol Eco Vitamin Tablets,9,13,Dettol,HEA-DET-00067,1963.85,1615.37,5,"Dettol Vitamin Tablets designed for quality, durability and everyday use.",4.5,39,2026-03-10,True
68,Himalaya Smart Vitamin Tablets,9,13,Himalaya,HEA-HIM-00068,1396.77,802.24,5,"Himalaya Vitamin Tablets designed for quality, durability and everyday use.",4.5,310,2022-04-16,True
69,Ensure Premium Hand Sanitizer,9,13,Ensure,HEA-ENS-00069,1234.23,940.59,15,"Ensure Hand Sanitizer designed for quality, durability and everyday use.",4.6,241,2024-06-25,True
70,Maybelline Classic Lipstick,5,14,Maybelline,BEA-MAY-00070,2791.13,2077.41,30,"Maybelline Lipstick designed for quality, durability and everyday use.",4.1,971,2018-06-19,True
71,Minimalist Pro Moisturizer,5,14,Minimalist,BEA-MIN-00071,2279.89,1574.51,5,"Minimalist Moisturizer designed for quality, durability and everyday use.",4.7,304,2022-10-08,True
72,Lakme Max Lipstick,5,14,Lakme,BEA-LAK-00072,3078.01,1716.79,5,"Lakme Lipstick designed for quality, durability and everyday use.",4.4,1,2026-04-17,False
73,Minimalist Plus Serum,5,14,Minimalist,BEA-MIN-00073,345.12,268.12,10,"Minimalist Serum designed for quality, durability and everyday use.",4.4,189,2024-01-07,True
74,Loreal Advanced Face Wash,5,14,Loreal,BEA-LOR-00074,1837.61,1194.43,15,"Loreal Face Wash designed for quality, durability and everyday use.",4.0,227,2022-10-11,True
75,Pearson Advanced Novel,4,15,Pearson,BOO-PEA-00075,312.91,195.79,0,"Pearson Novel designed for quality, durability and everyday use.",4.2,396,2023-01-03,True
76,McGraw Hill Premium Story Book,4,15,McGraw Hill,BOO-MCG-00076,497.03,327.31,20,"McGraw Hill Story Book designed for quality, durability and everyday use.",4.4,108,2024-02-21,True
77,Oxford Advanced Story Book,4,15,Oxford,BOO-OXF-00077,374.64,315.43,15,"Oxford Story Book designed for quality, durability and everyday use.",4.8,685,2020-01-29,True
78,HarperCollins Advanced Novel,4,15,HarperCollins,BOO-HAR-00078,1902.06,1415.73,0,"HarperCollins Novel designed for quality, durability and everyday use.",3.9,525,2021-07-13,True
79,McGraw Hill Advanced Dictionary,4,15,McGraw Hill,BOO-MCG-00079,1169.84,778.03,30,"McGraw Hill Dictionary designed for quality, durability and everyday use.",4.6,201,2023-05-23,True
80,3M Pro Cleaning Kit,10,16,3M,AUT-3M-00080,41117.2,26103.32,5,"3M Cleaning Kit designed for quality, durability and everyday use.",4.5,58,2025-09-29,True
81,Michelin Max Car Cover,10,16,Michelin,AUT-MIC-00081,27819.91,19836.4,10,"Michelin Car Cover designed for quality, durability and everyday use.",4.8,492,2021-05-04,True
82,Michelin Max Engine Oil,10,16,Michelin,AUT-MIC-00082,37362.91,28454.41,20,"Michelin Engine Oil designed for quality, durability and everyday use.",4.7,313,2023-11-08,True
83,Castrol Plus Cleaning Kit,10,16,Castrol,AUT-CAS-00083,16933.74,9823.42,25,"Castrol Cleaning Kit designed for quality, durability and everyday use.",5.0,133,2023-02-01,True
84,Castrol Advanced Engine Oil,10,16,Castrol,AUT-CAS-00084,39185.5,24667.54,15,"Castrol Engine Oil designed for quality, durability and everyday use.",4.7,850,2018-12-03,True
85,Michelin Advanced Car Cover,10,16,Michelin,AUT-MIC-00085,43682.96,24496.08,0,"Michelin Car Cover designed for quality, durability and everyday use.",4.4,231,2024-04-10,True
86,Bosch Advanced Engine Oil,10,16,Bosch,AUT-BOS-00086,8735.06,5589.04,0,"Bosch Engine Oil designed for quality, durability and everyday use.",4.8,523,2019-01-03,True
87,Levis Ultra Dress,2,17,Levis,FAS-LEV-00087,1608.87,922.99,25,"Levis Dress designed for quality, durability and everyday use.",4.4,357,2020-10-20,True
88,Puma Pro Jacket,2,17,Puma,FAS-PUM-00088,5434.67,4454.65,10,"Puma Jacket designed for quality, durability and everyday use.",4.8,286,2023-06-01,True
89,Allen Solly Elite Sneakers,2,17,Allen Solly,FAS-ALL-00089,5615.41,3858.07,5,"Allen Solly Sneakers designed for quality, durability and everyday use.",3.5,181,2023-08-07,True
90,Puma Pro Dress,2,17,Puma,FAS-PUM-00090,7943.73,5072.62,40,"Puma Dress designed for quality, durability and everyday use.",4.4,740,2020-04-10,True
91,Puma Smart Hoodie,2,18,Puma,FAS-PUM-00091,4974.4,3261.7,15,"Puma Hoodie designed for quality, durability and everyday use.",4.4,381,2023-10-08,True
92,Zara Premium Shirt,2,18,Zara,FAS-ZAR-00092,2678.78,1827.59,10,"Zara Shirt designed for quality, durability and everyday use.",4.3,494,2018-10-30,True
93,Adidas Ultra Jeans,2,18,Adidas,FAS-ADI-00093,6356.15,5167.16,5,"Adidas Jeans designed for quality, durability and everyday use.",4.6,383,2020-12-02,True
94,Levis Pro Hoodie,2,18,Levis,FAS-LEV-00094,6048.51,3941.3,0,"Levis Hoodie designed for quality, durability and everyday use.",3.7,506,2021-04-07,True
95,H&M Max Dress,2,18,H&M,FAS-H&M-00095,995.33,665.25,5,"H&M Dress designed for quality, durability and everyday use.",4.9,189,2024-06-20,True
96,Zara Classic Sneakers,2,18,Zara,FAS-ZAR-00096,5496.24,3800.34,15,"Zara Sneakers designed for quality, durability and everyday use.",3.8,164,2021-03-29,True
97,Oxford Classic Story Book,4,19,Oxford,BOO-OXF-00097,408.59,340.71,5,"Oxford Story Book designed for quality, durability and everyday use.",4.6,278,2019-07-05,True
98,Oxford Elite Biography,4,19,Oxford,BOO-OXF-00098,1236.58,949.67,25,"Oxford Biography designed for quality, durability and everyday use.",4.4,26,2026-06-14,True
99,Oxford Max Novel,4,19,Oxford,BOO-OXF-00099,551.95,377.21,5,"Oxford Novel designed for quality, durability and everyday use.",4.7,159,2025-01-22,True
100,Oxford Elite Novel,4,19,Oxford,BOO-OXF-00100,660.38,555.02,30,"Oxford Novel designed for quality, durability and everyday use.",4.1,817,2018-08-06,True
101,Penguin Max Novel,4,19,Penguin,BOO-PEN-00101,600.6,353.02,10,"Penguin Novel designed for quality, durability and everyday use.",5.0,190,2024-02-29,True
102,Aashirvaad Plus Atta,8,20,Aashirvaad,GRO-AAS-00102,55.53,44.84,0,"Aashirvaad Atta designed for quality, durability and everyday use.",4.9,232,2020-12-23,True
103,Tata Premium Atta,8,20,Tata,GRO-TAT-00103,748.57,588.77,15,"Tata Atta designed for quality, durability and everyday use.",5.0,551,2020-09-16,True
104,Tata Advanced Tea,8,20,Tata,GRO-TAT-00104,1567.13,1103.21,0,"Tata Tea designed for quality, durability and everyday use.",4.6,397,2023-03-30,True
105,Amul Premium Milk Powder,8,20,Amul,GRO-AMU-00105,168.61,116.96,10,"Amul Milk Powder designed for quality, durability and everyday use.",4.4,38,2025-06-27,True
106,Aashirvaad Ultra Coffee,8,20,Aashirvaad,GRO-AAS-00106,178.08,112.64,15,"Aashirvaad Coffee designed for quality, durability and everyday use.",4.5,230,2022-12-22,True
107,Nestle Classic Tea,8,20,Nestle,GRO-NES-00107,1596.54,932.9,15,"Nestle Tea designed for quality, durability and everyday use.",4.0,150,2024-03-16,True
108,Fortune Max Tea,8,20,Fortune,GRO-FOR-00108,1663.47,1113.89,15,"Fortune Tea designed for quality, durability and everyday use.",4.8,483,2021-06-06,True
109,Asus Classic Smartphone,1,21,Asus,ELE-ASU-00109,125102.24,72305.22,0,"Asus Smartphone designed for quality, durability and everyday use.",4.3,3,2026-02-13,True
110,Sony Elite Smartphone,1,21,Sony,ELE-SON-00110,54332.52,40727.77,20,"Sony Smartphone designed for quality, durability and everyday use.",4.0,193,2024-08-12,True
111,Apple Ultra Smart Watch,1,21,Apple,ELE-APP-00111,99196.97,61231.66,0,"Apple Smart Watch designed for quality, durability and everyday use.",4.1,186,2024-07-24,True
112,LG Plus Laptop,1,21,LG,ELE-LG-00112,139504.48,111441.51,5,"LG Laptop designed for quality, durability and everyday use.",4.9,275,2024-09-24,True
113,Samsung Ultra Tablet,1,21,Samsung,ELE-SAM-00113,85815.52,57516.59,0,"Samsung Tablet designed for quality, durability and everyday use.",4.4,360,2019-06-28,True
114,Asus Ultra Monitor,1,21,Asus,ELE-ASU-00114,56767.86,43511.36,20,"Asus Monitor designed for quality, durability and everyday use.",4.5,319,2018-02-23,True
115,Bosch Advanced Car Cover,10,22,Bosch,AUT-BOS-00115,33265.97,23143.09,10,"Bosch Car Cover designed for quality, durability and everyday use.",4.8,236,2023-08-22,True
116,3M Advanced Cleaning Kit,10,22,3M,AUT-3M-00116,26583.24,17080.42,5,"3M Cleaning Kit designed for quality, durability and everyday use.",3.6,468,2018-07-29,True
117,Castrol Pro Car Cover,10,22,Castrol,AUT-CAS-00117,16742.06,9246.96,20,"Castrol Car Cover designed for quality, durability and everyday use.",4.9,168,2024-04-16,True
118,3M Elite Engine Oil,10,22,3M,AUT-3M-00118,43157.34,24284.23,0,"3M Engine Oil designed for quality, durability and everyday use.",3.9,27,2026-03-25,True
119,Michelin Classic Car Cover,10,22,Michelin,AUT-MIC-00119,20549.1,17258.37,0,"Michelin Car Cover designed for quality, durability and everyday use.",3.8,42,2025-01-11,True
120,Yonex Elite Badminton Racket,6,23,Yonex,SPO-YON-00120,15956.9,10670.86,5,"Yonex Badminton Racket designed for quality, durability and everyday use.",4.7,198,2020-12-10,True
121,Nike Eco Badminton Racket,6,23,Nike,SPO-NIK-00121,6220.16,4869.57,5,"Nike Badminton Racket designed for quality, durability and everyday use.",3.7,180,2023-10-30,True
122,Puma Ultra Cricket Bat,6,23,Puma,SPO-PUM-00122,18270.77,14215.84,15,"Puma Cricket Bat designed for quality, durability and everyday use.",4.9,138,2025-10-08,True
123,Levis Plus Shirt,2,24,Levis,FAS-LEV-00123,5251.04,4442.17,5,"Levis Shirt designed for quality, durability and everyday use.",3.7,114,2022-06-19,True
124,Zara Pro Sneakers,2,24,Zara,FAS-ZAR-00124,4853.93,3182.15,0,"Zara Sneakers designed for quality, durability and everyday use.",4.6,433,2019-01-13,True
125,H&M Classic Hoodie,2,24,H&M,FAS-H&M-00125,5035.56,3535.57,10,"H&M Hoodie designed for quality, durability and everyday use.",4.5,290,2023-03-26,True
126,Allen Solly Smart Shirt,2,24,Allen Solly,FAS-ALL-00126,2775.76,1922.74,0,"Allen Solly Shirt designed for quality, durability and everyday use.",5.0,186,2021-12-04,True
127,Adidas Smart T-Shirt,2,24,Adidas,FAS-ADI-00127,5748.69,4870.84,10,"Adidas T-Shirt designed for quality, durability and everyday use.",4.5,139,2024-08-02,True
128,Puma Plus Shirt,2,24,Puma,FAS-PUM-00128,703.21,519.86,5,"Puma Shirt designed for quality, durability and everyday use.",4.7,92,2025-03-02,True
129,Allen Solly Ultra Hoodie,2,25,Allen Solly,FAS-ALL-00129,2866.89,2077.98,0,"Allen Solly Hoodie designed for quality, durability and everyday use.",4.7,53,2025-03-13,True
130,Nike Eco Sneakers,2,25,Nike,FAS-NIK-00130,3200.43,2520.33,20,"Nike Sneakers designed for quality, durability and everyday use.",4.4,43,2025-12-14,True
131,Levis Max Dress,2,25,Levis,FAS-LEV-00131,440.38,283.01,40,"Levis Dress designed for quality, durability and everyday use.",4.7,97,2024-01-29,False
132,Adidas Pro T-Shirt,2,25,Adidas,FAS-ADI-00132,6802.1,3947.55,20,"Adidas T-Shirt designed for quality, durability and everyday use.",4.1,398,2023-03-19,True
133,H&M Ultra Dress,2,25,H&M,FAS-H&M-00133,4898.8,2921.04,0,"H&M Dress designed for quality, durability and everyday use.",4.3,284,2023-12-06,True
134,Puma Smart Shirt,2,25,Puma,FAS-PUM-00134,7765.83,5693.74,20,"Puma Shirt designed for quality, durability and everyday use.",4.2,416,2021-05-04,True
135,H&M Smart Jacket,2,25,H&M,FAS-H&M-00135,3132.38,2612.84,50,"H&M Jacket designed for quality, durability and everyday use.",4.6,337,2022-02-21,True
136,Maybelline Ultra Moisturizer,5,26,Maybelline,BEA-MAY-00136,4384.06,2479.86,10,"Maybelline Moisturizer designed for quality, durability and everyday use.",4.7,51,2025-11-22,True
137,Maybelline Advanced Serum,5,26,Maybelline,BEA-MAY-00137,4540.74,2698.13,10,"Maybelline Serum designed for quality, durability and everyday use.",3.8,258,2022-07-12,True
138,Loreal Elite Face Wash,5,26,Loreal,BEA-LOR-00138,2584.73,1604.43,50,"Loreal Face Wash designed for quality, durability and everyday use.",4.7,891,2018-04-12,True
139,Maybelline Premium Shampoo,5,26,Maybelline,BEA-MAY-00139,1541.37,1231.44,15,"Maybelline Shampoo designed for quality, durability and everyday use.",4.9,21,2025-07-07,True
140,Lakme Smart Serum,5,26,Lakme,BEA-LAK-00140,4199.57,3001.19,15,"Lakme Serum designed for quality, durability and everyday use.",4.5,343,2021-08-13,True
141,Lakme Elite Shampoo,5,26,Lakme,BEA-LAK-00141,3248.92,2393.94,0,"Lakme Shampoo designed for quality, durability and everyday use.",4.1,1,2026-01-02,True
142,Mamaearth Ultra Shampoo,5,26,Mamaearth,BEA-MAM-00142,1562.67,860.2,5,"Mamaearth Shampoo designed for quality, durability and everyday use.",4.5,656,2020-06-24,False
143,Lakme Eco Moisturizer,5,26,Lakme,BEA-LAK-00143,2610.54,2209.82,10,"Lakme Moisturizer designed for quality, durability and everyday use.",4.7,115,2025-03-03,True
144,Prestige Smart Bottle,3,27,Prestige,HMK-PRE-00144,18457.06,13630.12,20,"Prestige Bottle designed for quality, durability and everyday use.",4.3,480,2020-03-31,True
145,Cello Advanced Cookware Set,3,27,Cello,HMK-CEL-00145,24530.07,17013.06,0,"Cello Cookware Set designed for quality, durability and everyday use.",4.9,29,2025-07-26,True
146,Funskool Max Puzzle,7,28,Funskool,TOY-FUN-00146,4680.18,3297.73,50,"Funskool Puzzle designed for quality, durability and everyday use.",4.5,392,2021-01-26,True
147,Lego Pro Building Blocks,7,28,Lego,TOY-LEG-00147,797.48,526.66,25,"Lego Building Blocks designed for quality, durability and everyday use.",4.3,106,2025-03-02,False
148,Ensure Eco Hand Sanitizer,9,29,Ensure,HEA-ENS-00148,1406.93,808.68,10,"Ensure Hand Sanitizer designed for quality, durability and everyday use.",4.6,179,2024-01-05,True
149,Himalaya Max Protein Powder,9,29,Himalaya,HEA-HIM-00149,3338.5,2143.15,15,"Himalaya Protein Powder designed for quality, durability and everyday use.",4.7,154,2024-12-20,True
150,Horlicks Pro First Aid Kit,9,29,Horlicks,HEA-HOR-00150,3233.4,2546.12,0,"Horlicks First Aid Kit designed for quality, durability and everyday use.",4.4,60,2025-11-16,True
151,Dabur Premium First Aid Kit,9,29,Dabur,HEA-DAB-00151,718.53,446.06,15,"Dabur First Aid Kit designed for quality, durability and everyday use.",4.7,369,2023-03-08,True
152,Ensure Max Hand Sanitizer,9,29,Ensure,HEA-ENS-00152,2275.3,1303.9,0,"Ensure Hand Sanitizer designed for quality, durability and everyday use.",4.7,355,2021-07-24,True
153,Funskool Eco Doll,7,30,Funskool,TOY-FUN-00153,2057.54,1478.35,5,"Funskool Doll designed for quality, durability and everyday use.",4.8,18,2026-06-07,True
154,Barbie Classic Toy Car,7,30,Barbie,TOY-BAR-00154,851.5,487.24,0,"Barbie Toy Car designed for quality, durability and everyday use.",4.3,210,2024-10-16,True
155,Cosco Pro Yoga Mat,6,31,Cosco,SPO-COS-00155,25615.18,19558.28,30,"Cosco Yoga Mat designed for quality, durability and everyday use.",4.4,77,2025-11-07,True
156,Adidas Smart Cricket Bat,6,31,Adidas,SPO-ADI-00156,23816.01,13286.6,10,"Adidas Cricket Bat designed for quality, durability and everyday use.",4.7,8,2026-02-03,True
157,Nike Pro Football,6,31,Nike,SPO-NIK-00157,12245.72,9368.96,10,"Nike Football designed for quality, durability and everyday use.",4.7,4,2026-03-23,True
158,Himalaya Advanced First Aid Kit,9,32,Himalaya,HEA-HIM-00158,3432.53,2242.66,25,"Himalaya First Aid Kit designed for quality, durability and everyday use.",4.2,236,2024-01-08,True
159,Ensure Classic Protein Powder,9,32,Ensure,HEA-ENS-00159,2638.7,1692.03,0,"Ensure Protein Powder designed for quality, durability and everyday use.",3.8,225,2022-11-28,True
160,Horlicks Eco Vitamin Tablets,9,32,Horlicks,HEA-HOR-00160,1444.81,1065.56,15,"Horlicks Vitamin Tablets designed for quality, durability and everyday use.",5.0,37,2026-04-27,True
